"";"city";"country";"type";"name";"lat";"lon"
"278";"Ciudad Victoria";"Mexico";"epoch";"Ciudad Victoria";"23.7389846";"-99.1441352"
"279";"Coatzacoalcos";"Mexico";"epoch";"Coatzacoalcos";"18.1367924";"-94.37775916"
"280";"Colima - Villa de Alvarez";"Mexico";"epoch";"Colima - Villa de Alvarez";"19.274843";"-103.7159042"
"112.1";"Cordoba";"Mexico";"epoch";"Cordoba";"37.8845813";"-4.7760138"
"282";"Cuernavaca";"Mexico";"epoch";"Cuernavaca";"18.9218274";"-99.2342282"
"283";"Culiacan";"Mexico";"epoch";"Culiacan";"24.7978965";"-107.393395"
"285";"Durango";"Mexico";"epoch";"Durango";"24.833333";"-104.833333"
"287";"Ensenada";"Mexico";"epoch";"Ensenada";"30.1927661";"-115.2314626"
"288";"Fresnillo";"Mexico";"epoch";"Fresnillo";"23.2249237";"-103.0162891"
"289";"Guanajuato";"Mexico";"epoch";"Guanajuato";"20.9876996";"-101"
"290";"Hermosillo";"Mexico";"epoch";"Hermosillo";"29.0948207";"-110.9692202"
"291";"Heroica Matamoros";"Mexico";"epoch";"Heroica Matamoros";"31.3267701";"-110.9513566"
"292";"Heroica Nogales";"Mexico";"epoch";"Heroica Nogales";"31.3078109";"-110.9424823"
"293";"Heroica Zamora";"Mexico";"epoch";"Heroica Zamora";"30.6393333";"-112.2678333"
"295";"Hidalgo del Parral";"Mexico";"epoch";"Hidalgo del Parral";"27.11538475";"-105.764288"
"297";"Iguala de la Independencia";"Mexico";"epoch";"Iguala de la Independencia";"18.1923169";"-99.60236695"
"298";"Irapuato";"Mexico";"epoch";"Irapuato";"20.6748936";"-101.3885423"
"301";"La Paz";"Mexico";"epoch";"La Paz";"19.36376855";"-98.9463136"
"302";"La Piedad - Penjamo";"Mexico";"epoch";"La Piedad - Penjamo";"20.3691855";"-101.9974856"
"131.1";"Linares";"Mexico";"epoch";"Linares";"38.0928249";"-3.6343581"
"305";"Los Mochis";"Mexico";"epoch";"Los Mochis";"25.78453485";"-109.0032924"
"306";"Matehuala";"Mexico";"epoch";"Matehuala";"23.52290375";"-100.604046"
"307";"Mazatlan";"Mexico";"epoch";"Mazatlan";"23.2313053";"-106.4153144"
"308";"Merida";"Mexico";"epoch";"Merida";"20.9670759";"-89.6237402"
"309";"Mexicali";"Mexico";"epoch";"Mexicali";"32.6248622";"-115.448325"
"310";"Minatitlan";"Mexico";"epoch";"Minatitlan";"17.7052686";"-94.38617333"
"311";"Monclova";"Mexico";"epoch";"Monclova";"26.8999988";"-101.4171173"
"312";"Morelia";"Mexico";"epoch";"Morelia";"19.7027116";"-101.1923818"
"314";"Nuevo Laredo";"Mexico";"epoch";"Nuevo Laredo";"27.4751071";"-99.67691718"
"315";"Oaxaca";"Mexico";"epoch";"Oaxaca";"17";"-96.5"
"316";"Ocotlan";"Mexico";"epoch";"Ocotlan";"20.3872033";"-102.7336192"
"317";"Orizaba";"Mexico";"epoch";"Orizaba";"18.85923285";"-97.11065374"
"318";"Pachuca";"Mexico";"epoch";"Pachuca";"20.1165413";"-98.7413535"
"320";"Piedras Negras";"Mexico";"epoch";"Piedras Negras";"28.7019602";"-100.5219222"
"323";"Queretaro";"Mexico";"epoch";"Queretaro";"20.8542575";"-99.84756"
"324";"Reynosa";"Mexico";"epoch";"Reynosa";"25.8366364";"-98.3708594"
"154.1";"Salamanca";"Mexico";"epoch";"Salamanca";"40.9651572";"-5.6640182"
"328";"Saltillo";"Mexico";"epoch";"Saltillo";"25.4230425";"-100.9927509"
"329";"San Cristobal de las Casas";"Mexico";"epoch";"San Cristobal de las Casas";"16.6835469";"-92.61551842"
"330";"San Francisco del Rincon";"Mexico";"epoch";"San Francisco del Rincon";"20.92484015";"-101.7983288"
"331";"San Luis Potosi";"Mexico";"epoch";"San Luis Potosi";"22.5000001";"-100.5000001"
"333";"Silao";"Mexico";"epoch";"Silao";"20.943727";"-101.427043"
"334";"Tampico";"Mexico";"epoch";"Tampico";"22.2329889";"-97.8614802"
"335";"Tapachula";"Mexico";"epoch";"Tapachula";"14.92746";"-92.3223122"
"336";"Tehuacan";"Mexico";"epoch";"Tehuacan";"18.46580115";"-97.3978348"
"337";"Tehuantepec - Salina Cruz";"Mexico";"epoch";"Tehuantepec - Salina Cruz";"16.2161458";"-95.1972137"
"338";"Tepic";"Mexico";"epoch";"Tepic";"21.5044414";"-104.8946667"
"339";"Teziutlan";"Mexico";"epoch";"Teziutlan";"19.87399265";"-97.37156287"
"340";"Tijuana";"Mexico";"epoch";"Tijuana";"32.5010188";"-116.9646629"
"341";"Tlaxcala - Apizaco";"Mexico";"epoch";"Tlaxcala - Apizaco";"19.3987367";"-98.1333391"
"342";"Toluca";"Mexico";"epoch";"Toluca";"19.292545";"-99.6569007"
"343";"Tuxpam";"Mexico";"epoch";"Tuxpam";"18.8817913";"-97.1081611"
"344";"Tuxtla Gutierrez";"Mexico";"epoch";"Tuxtla Gutierrez";"16.74521845";"-93.14180864"
"345";"Uruapan";"Mexico";"epoch";"Uruapan";"19.40604335";"-102.03429"
"347";"Veracruz";"Mexico";"epoch";"Veracruz";"19.333333";"-96.666667"
"348";"Villahermosa";"Mexico";"epoch";"Villahermosa";"20.738333";"-98.0725"
"349";"Xalapa";"Mexico";"epoch";"Xalapa";"19.5408338";"-96.9146374"
"350";"Zacatecas - Guadalupe";"Mexico";"epoch";"Zacatecas - Guadalupe";"22.824711";"-102.4049183"
"577";"Agen";"France";"epoch";"Agen";"44.2015624";"0.6176324"
"578";"Ajaccio";"France";"epoch";"Ajaccio";"41.9263991";"8.7376029"
"579";"Albi";"France";"epoch";"Albi";"43.9277552";"2.147899"
"581";"Amiens";"France";"epoch";"Amiens";"49.8941708";"2.2956951"
"582";"Angers";"France";"epoch";"Angers";"47.4739884";"-0.5515588"
"584";"Annemasse";"France";"epoch";"Annemasse";"46.1934005";"6.2341093"
"586";"Arras";"France";"epoch";"Arras";"50.291048";"2.7772211"
"587";"Avignon";"France";"epoch";"Avignon";"43.9492493";"4.8059012"
"588";"Bastia";"France";"epoch";"Bastia";"42.7065505";"9.452542"
"589";"Bayonne";"France";"epoch";"Bayonne";"43.4933379";"-1.475099"
