Monte San Giuliano,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foligno,NA,99,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
Cosenza,NA,NA,80,-11,50,-25,-16,37,4,5,-32,-15
Benevento,NA,NA,84,-5,-10,16,-5,-6,NA,NA,5,NA
Belluno,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teramo,NA,NA,86,-10,NA,NA,2,NA,NA,NA,NA,NA
Avellino,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolzano,NA,NA,89,10,46,-13,-27,43,-13,-2,-2,5
Macerata,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laquila,NA,NA,91,34,-45,33,14,NA,NA,NA,-23,4
Imperia,NA,NA,92,-7,NA,NA,NA,NA,NA,NA,NA,NA
Potenza,NA,NA,93,NA,NA,NA,NA,NA,1,2,14,-11
Grosseto,NA,NA,94,NA,-7,NA,NA,NA,10,-6,25,7
Campobasso,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rovigo,NA,NA,96,10,NA,2,1,NA,NA,NA,NA,NA
Sondrio,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
a4,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varese,NA,NA,NA,76,19,-15,-3,-4,27,-2,-6,-7
Brindisi,NA,NA,NA,81,27,-11,-15,23,4,5,-7,-1
Viterbo,NA,NA,NA,87,NA,-5,1,NA,NA,NA,-5,3
Civitavecchia,NA,NA,NA,92,NA,NA,-4,NA,NA,NA,NA,NA
Rieti,NA,NA,NA,94,NA,NA,1,NA,NA,NA,NA,NA
San Remo,NA,NA,NA,95,-2,NA,0,-2,15,-4,NA,NA
Merano,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA
Pescara,NA,NA,NA,NA,27,-28,-5,27,4,3,-7,1
Sesto San Giovanni,NA,NA,NA,NA,48,-43,NA,60,-19,-5,-7,-6
Busto Arsizio,NA,NA,NA,NA,61,-12,NA,12,-2,0,-3,0
Cinisello Balsamo,NA,NA,NA,NA,64,NA,NA,NA,4,-4,-6,-2
Portici,NA,NA,NA,NA,66,NA,NA,NA,4,-14,-17,NA
Vigevano,NA,NA,NA,NA,71,-22,NA,22,-5,-7,-16,7
Gela,NA,NA,NA,NA,73,-21,NA,28,-3,9,-9,-1
Viareggio,NA,NA,NA,NA,82,NA,NA,-14,NA,NA,4,2
Biella,NA,NA,NA,NA,87,-10,NA,28,-27,NA,NA,NA
Latina,NA,NA,NA,NA,88,NA,NA,NA,13,6,33,2
Pozzuoli,NA,NA,NA,NA,89,NA,-10,11,10,0,15,1
Moncalieri,NA,NA,NA,NA,91,NA,NA,NA,6,-6,NA,NA
Ercolano,NA,NA,NA,NA,92,NA,NA,NA,3,4,NA,NA
Lecco,NA,NA,NA,NA,93,-5,NA,17,NA,NA,NA,NA
Afragola,NA,NA,NA,NA,94,NA,NA,NA,6,2,-2,-3
Aversa,NA,NA,NA,NA,98,NA,NA,-3,11,NA,NA,NA
Carbonia,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA
Mestre,NA,NA,NA,NA,NA,NA,NA,19,1,0,NA,NA
Altamura,NA,NA,NA,NA,NA,NA,NA,93,NA,-3,10,2
San Giorgio a Cremano,NA,NA,NA,NA,NA,NA,NA,NA,80,-2,NA,NA
Scandicci,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA
Cologno Monzese,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA
