,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,netDistance,totalDistance,,,,,,,,,,,
Lachute,93,12,101,-7,101,101,101,101,101,101,101,101,8,81,-89,108,-108,0,0,0,0,0,0,0,93
Preston,94,12,101,-7,101,101,101,101,101,101,101,101,7,82,-89,108,-108,0,0,0,0,0,0,0,94
Sainte-Therese,95,12,101,-7,101,101,101,101,101,101,101,101,6,83,-89,108,-108,0,0,0,0,0,0,0,95
Saint-Laurent,96,12,101,-7,101,52,101,-15,-8,-8,5,101,5,84,-89,108,-108,49,-49,116,-7,0,-13,-96,96
Grand Falls,97,12,8,2,101,101,101,101,101,101,101,101,4,85,4,6,-99,0,0,0,0,0,0,0,97
Verdun,101,59,4,1,-1,-4,-9,-18,-26,-15,-5,101,42,42,55,3,2,3,5,9,8,-11,-10,-106,59
Medicine Hat,101,62,-29,-3,-1,-7,-4,101,-8,-13,5,37,25,39,91,-26,-2,6,-3,-105,109,5,-18,-32,12
Westmount,101,22,-1,4,-7,-26,-15,101,101,101,101,101,79,79,23,-5,11,19,-11,-116,0,0,0,0,22
Saint Boniface,101,43,-12,0,3,-9,8,-28,101,101,101,101,58,58,55,-12,-3,12,-17,36,-129,0,0,0,43
Moose Jaw,101,37,101,-4,-1,-11,-6,101,101,101,101,-34,71,64,-64,105,-3,10,-5,-107,0,0,0,135,-105
Amherst,101,42,-8,-12,-25,101,101,101,101,101,101,101,59,59,50,4,13,-126,0,0,0,0,0,0,42
Nelson,101,38,-20,101,101,101,101,101,101,101,101,101,63,63,58,-121,0,0,0,0,0,0,0,0,38
Prince Albert,101,15,-7,7,2,-16,3,101,101,101,101,-3,18,86,22,-14,5,18,-19,-98,0,0,0,104,-21
Wetaskiwin,101,9,-23,101,101,101,101,101,101,101,101,101,92,92,32,-124,0,0,0,0,0,0,0,0,9
Kamloops,101,22,-7,2,-28,101,4,21,13,-4,7,17,5,79,29,-9,30,-129,97,-17,8,17,-11,-10,12
Prince Rupert,101,-27,-4,2,101,101,101,101,101,101,101,101,128,128,-23,-6,-99,0,0,0,0,0,0,0,-27
Red Deer,101,-5,-12,101,101,101,12,101,-9,-6,7,36,41,106,7,-113,0,0,89,-89,110,-3,-13,-29,-5
Kalow101,101,-42,101,-6,101,101,101,101,101,101,101,101,143,143,-143,107,-107,0,0,0,0,0,0,0,-42
Whitehorse,101,5,0,-7,101,101,101,101,101,101,101,101,96,96,5,7,-108,0,0,0,0,0,0,0,5
Kitchener,101,101,73,5,-1,-1,9,-4,2,1,2,2,71,0,28,68,6,0,-10,13,-6,1,-1,0,-69
Sault Sainte Marie,101,101,-17,-2,-5,-5,7,-4,-11,-6,-17,21,38,0,118,-15,3,0,-12,11,7,-5,11,-38,-17
Saint Catharines,101,101,21,3,-3,-8,15,9,-1,-2,101,101,101,0,80,18,6,5,-23,6,10,1,-103,0,0
Outremont,101,101,-27,18,-2,-25,101,101,101,101,101,101,101,0,128,-45,20,23,-126,0,0,0,0,0,0
North Bay,101,101,0,7,-10,-16,17,-12,-10,-8,-9,39,39,0,101,-7,17,6,-33,29,-2,-2,1,-48,0
Shawinigan,101,101,1,6,4,-8,21,-29,-10,-16,-14,32,31,0,100,-5,2,12,-29,50,-19,6,-2,-46,1
North Battleford,101,101,-8,4,101,101,101,101,101,101,101,101,101,0,109,-12,-97,0,0,0,0,0,0,0,0
Swift Current,101,101,-5,3,101,101,101,101,101,101,101,101,101,0,106,-8,-98,0,0,0,0,0,0,0,0
Bo101vista,101,101,-5,0,101,101,101,101,101,101,101,101,101,0,106,-5,-101,0,0,0,0,0,0,0,0
Harbour Grace,101,101,-2,-1,101,101,101,101,101,101,101,101,101,0,103,-1,-102,0,0,0,0,0,0,0,0
Carbonear,101,101,0,2,101,101,101,101,101,101,101,101,101,0,101,-2,-99,0,0,0,0,0,0,0,0
