,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Shahty,NA,NA,NA,NA,16,-4,-25,-24,NA,NA,NA
Leninsk-Kuzneckij,NA,NA,NA,NA,42,19,-22,-25,-4,NA,NA
Ulan-Ude,NA,NA,NA,NA,31,-12,2,-7,4,3,4
Murmansk,NA,NA,NA,NA,3,24,-1,-5,11,-25,-12
Lisichansk,NA,NA,NA,NA,6,-3,7,-12,-9,-15,-11
Novomoskovsk,NA,NA,NA,NA,38,34,-17,-10,-25,-14,-7
Torez,NA,NA,NA,NA,17,44,-32,-27,NA,NA,NA
Drogobich,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
Kineshma,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
Abakan,NA,NA,NA,NA,-6,25,-19,6,3,1,-3
Nikopol,NA,NA,NA,NA,-17,NA,NA,NA,NA,NA,NA
Krasnij Lutch,NA,NA,NA,NA,-3,6,NA,NA,NA,NA,NA
Pervouralsk,NA,NA,NA,NA,-7,17,NA,NA,NA,NA,NA
Orsk,NA,NA,NA,NA,NA,45,-5,-6,-6,-6,-10
Komsomolsk-0-Amure,NA,NA,NA,NA,NA,13,-21,-4,3,-17,NA
Oskemen / Ust-kamenogorsk,NA,NA,NA,NA,NA,20,3,-4,2,-10,-2
Kurgan,NA,NA,NA,NA,NA,6,21,0,-5,0,-6
Kamenskural,NA,NA,NA,NA,NA,-14,NA,NA,NA,NA,NA
Angarsk,NA,NA,NA,NA,NA,-1,3,-6,NA,NA,NA
Sochi,NA,NA,NA,NA,NA,-5,20,2,1,0,3
Altchevsk / kommu0rsk,NA,NA,NA,NA,NA,-27,NA,NA,NA,NA,NA
Miass,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
Cheremhovo,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA
Cherepovets,NA,NA,NA,NA,NA,NA,7,12,-5,5,-4
Taraz - Zhambul,NA,NA,NA,NA,NA,NA,-9,10,-3,14,-7
Pavlodar,NA,NA,NA,NA,NA,NA,-15,16,5,-18,10
Bratsk,NA,NA,NA,NA,NA,NA,-15,6,-3,NA,NA
Sterlitamak,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,0
Nukus,NA,NA,NA,NA,NA,NA,NA,NA,5,37,14
Petropavlovsk-Kamchatski,NA,NA,NA,NA,NA,NA,NA,NA,-55,NA,NA
0lchik,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-17
Turkme0bat / Tchardjou,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,40
Surgut,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46,7
Sumqayit,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,8
Yoshkar-Ola,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA
Aktobe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
Dashougouz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31
