Alcoi,-1,-1,-1,-1,57,50,57,45,33,33,29,28,-29
Langreo,-1,-1,-1,-1,61,52,46,49,41,37,48,76,15
Puertollano,-1,-1,-1,-1,68,58,72,90,-1,89,-1,-1,21
Linea de la Concepcion,-1,-1,-1,-1,69,59,45,63,48,20,36,37,-32
Portugalete,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,0
Sestao,-1,-1,-1,-1,82,96,-1,-1,-1,-1,-1,-1,14
Merida,-1,-1,-1,-1,84,77,-1,88,83,-1,93,-1,9
Eibar,-1,-1,-1,-1,85,78,-1,-1,89,-1,-1,-1,4
Puerto de Santa Maria,-1,-1,-1,-1,86,79,91,79,-1,92,81,70,-16
Siero,-1,-1,-1,-1,87,-1,75,74,-1,56,49,59,-28
Vilanova i la Geltru,-1,-1,-1,-1,88,95,-1,-1,-1,-1,-1,-1,7
Cuenca,-1,-1,-1,-1,89,81,-1,86,81,-1,-1,-1,-8
Huesca,-1,-1,-1,-1,91,86,-1,-1,84,-1,-1,-1,-7
Alzira,-1,-1,-1,-1,93,-1,-1,95,77,84,69,68,-25
Avila,-1,-1,-1,-1,95,89,-1,-1,82,-1,-1,-1,-13
Vila-real,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,89,-8
Miranda de Ebro,-1,-1,-1,-1,98,92,-1,-1,-1,-1,-1,-1,-6
Tortosa,-1,-1,-1,-1,-1,63,54,57,46,40,44,46,-17
utrera,-1,-1,-1,-1,-1,65,73,75,-1,82,86,-1,21
ecija,-1,-1,-1,-1,-1,83,63,64,57,50,54,57,-26
Moron de la Frontera,-1,-1,-1,-1,-1,84,84,-1,-1,-1,-1,-1,0
ubeda,-1,-1,-1,-1,-1,85,82,73,-1,78,75,71,-14
Antequera,-1,-1,-1,-1,-1,87,58,58,51,45,33,27,-60
Tomelloso,-1,-1,-1,-1,-1,88,83,78,-1,81,-1,-1,-7
Alcazar de San Juan,-1,-1,-1,-1,-1,90,-1,85,-1,-1,-1,-1,-5
Carmona,-1,-1,-1,-1,-1,93,94,96,-1,79,-1,92,-1
Aranjuez,-1,-1,-1,-1,-1,94,-1,91,-1,-1,90,-1,-4
Puente Genil,-1,-1,-1,-1,-1,97,79,89,-1,-1,-1,-1,-8
Valdepenas,-1,-1,-1,-1,-1,98,97,76,64,66,61,66,-32
Andujar,-1,-1,-1,-1,-1,99,90,87,-1,-1,-1,91,-8
Lucena,-1,-1,-1,-1,-1,-1,70,71,-1,77,78,62,-8
Ronda,-1,-1,-1,-1,-1,-1,78,-1,50,48,70,65,-13
Martos,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,87,7
Loja,-1,-1,-1,-1,-1,-1,81,-1,-1,86,-1,73,-8
Guadix,-1,-1,-1,-1,-1,-1,85,-1,69,-1,-1,-1,-16
Hellin,-1,-1,-1,-1,-1,-1,86,-1,-1,-1,-1,-1,0
Alcala la Real,-1,-1,-1,-1,-1,-1,88,-1,-1,-1,-1,95,7
Estrada,-1,-1,-1,-1,-1,-1,92,-1,-1,63,57,39,-53
Penarroya-Pueblonuevo,-1,-1,-1,-1,-1,-1,93,-1,-1,-1,-1,-1,0
