,2010,2000,c1990,c1980,c1970,c1960,c1950,c1940,c1930,c1920,c1910,c1900,
Flint,-1,-1,-1,94,66,60,61,55,49,65,92,-1,4
Providence,-1,-1,-1,98,70,55,41,36,36,26,22,19,3
Gary,-1,-1,-1,-1,74,69,71,72,80,91,-1,-1,6
Springfield,-1,-1,-1,-1,84,71,62,57,51,49,52,49,4
Hartford,-1,-1,-1,-1,85,77,53,51,46,45,48,44,4
Bridgeport,-1,-1,-1,-1,87,79,64,58,53,43,46,46,4
Rockford,-1,-1,-1,-1,93,97,-1,92,85,83,80,80,5
Paterson,-1,-1,-1,-1,94,85,67,63,57,47,38,30,4
Youngstown,-1,-1,-1,-1,97,75,57,49,44,48,58,62,4
Fort Lauderdale,-1,-1,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,11
Evansville,-1,-1,-1,-1,99,86,79,85,78,69,63,50,4
New Haven,-1,-1,-1,-1,-1,81,58,53,48,38,34,29,5
Savannah,-1,-1,-1,-1,-1,82,85,88,86,71,68,53,5
Erie,-1,-1,-1,-1,-1,87,75,69,65,64,67,56,5
Amarillo,-1,-1,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,11
South Bend,-1,-1,-1,-1,-1,91,86,81,76,81,72,74,5
Albany,-1,-1,-1,-1,-1,93,69,64,62,54,47,35,5
Cambridge,-1,-1,-1,-1,-1,-1,84,74,69,57,44,36,6
Berkeley,-1,-1,-1,-1,-1,-1,87,91,88,90,89,-1,7
Elizabeth,-1,-1,-1,-1,-1,-1,88,75,67,63,60,57,6
Peoria,-1,-1,-1,-1,-1,-1,89,79,75,75,66,52,6
Wilmington,-1,-1,-1,-1,-1,-1,90,71,73,56,53,45,6
Allentown,-1,-1,-1,-1,-1,-1,92,86,83,77,75,75,6
Pasadena,-1,-1,-1,-1,-1,-1,95,95,93,-1,-1,-1,9
Waterbury,-1,-1,-1,-1,-1,-1,97,83,84,78,79,85,6
Lowell,-1,-1,-1,-1,-1,-1,-1,80,81,55,43,34,7
Winston-Salem,-1,-1,-1,-1,-1,-1,-1,96,95,99,-1,-1,9
Lansing,-1,-1,-1,-1,-1,-1,-1,97,90,88,-1,-1,9
Manchester,-1,-1,-1,-1,-1,-1,-1,-1,91,72,62,51,8
Roanoke,-1,-1,-1,-1,-1,-1,-1,-1,97,97,98,96,8
Davenport,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,85,79,9
Portsmouth,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,-1,-1,11
Macon,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,88,93,9
Topeka,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,84,77,9
Pueblo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,87,10
Joliet,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,83,10
Cedar Rapids,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,11
Columbia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,11
