la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
Gordon,63819,61283,57603,57057,56106,53658,48907,45008,62309,77095,83365
Gosport,30500,35191,35830,38673,44345,58531,62512,76125,78083,76629,76415
Gravesham,47720,50312,55392,60312,62266,71093,84122,96461,95976,94470,96699
Great Grimsby,65027,78325,86475,93207,91800,95717,97978,95541,92596,91807,87574
Great Yarmouth,63615,69034,74362,70953,71433,68985,72591,75763,80819,88844,90810
Greenwich,210563,214878,238282,244922,239584,235549,229810,217664,211840,213790,216182
Guildford,44056,50361,55163,65613,71269,93031,108852,118752,120638,126559,129988
Hackney,388953,384544,378813,363638,335933,265349,257522,220279,180434,187857,211063
Halton,54936,60138,62763,65895,68476,76769,82249,95463,122094,125042,116957
Hambleton,47062,48780,51100,50090,52703,56920,58878,67187,74150,79617,84111
Hamilton,87354,106288,91571,88219,91785,95566,96876,104731,108459,106978,102745
Hammersmith and Fulham,249487,274767,281474,286506,269804,241431,222124,187195,148447,156191,189018
Harborough,27404,30329,30566,31866,33836,39077,42494,52964,60934,68120,76559
Haringey,208951,271341,285400,307446,290054,277316,259156,240078,203553,211908,217765
Harlow,3110,3384,3823,4186,4593,5771,53680,78087,79521,75574,70209
Harrogate,77901,86358,91292,93647,97843,108590,115245,127527,139799,145628,157110
Harrow,24106,42030,49271,96711,121825,219494,209083,203215,196571,203778,204938
Hart,17288,20012,21801,24141,25812,31493,37426,61692,76158,87943,89400
Hartlepool,86433,86003,92080,91556,91808,91788,96708,99512,94870,91487,88611
Hastings,66471,62166,67515,66321,66453,65522,66478,72410,75284,83431,85029
Havant,13639,16140,17511,22951,25377,35668,74607,109332,117428,120558,116849
Havering,25763,33130,38478,77284,102619,192094,245598,247696,240849,232560,224911
Hereford,21841,23135,23525,24404,26810,32501,40434,46503,47804,51010,50154
Hertsmere,13189,16995,18715,26963,32992,53298,87821,91190,87753,89039,92959
High Peak,65876,72730,74232,74521,73512,71782,70280,79236,82546,86124,88824
Hillingdon,29218,38580,48194,84012,114173,210312,228361,234888,229913,236978,242769
Hinckley and Bosworth,36668,42567,44487,49433,51815,61525,65020,75374,87617,97254,100141
Holderness,19730,21811,26132,26345,27922,31290,33267,39956,46216,51401,51439
Horsham,38245,43693,41920,44163,48177,58447,67050,85639,101396,119793,131370
Hounslow,84891,109432,117605,155590,161423,211075,208893,206956,200829,209042,222770
Hove,42650,49854,55726,64520,67785,83109,88747,91222,85092,89634,91376
Huntingdon,47725,48842,48632,48157,52204,59824,68218,96986,124253,146652,157323
Hyndburn,93271,100327,97328,92060,90603,82420,80077,80599,79043,79064,81496
Inverclyde,97900,108534,119615,114115,115821,113734,112458,109365,100387,91494,84203
Inverness,40404,39201,38266,40120,41357,45686,45848,49760,56770,62279,66028
Ipswich,68120,75515,81121,89784,92862,107681,117528,123301,120908,119337,117482
Islington,436413,415288,406983,391738,356574,271002,261232,201874,160890,173748,168018
