,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,,,
Comalcalco,NA,NA,NA,NA,NA,-5,NA,NA,-29,NA,NA,NA,-29,2,-14.5
San Martin Texmelucan,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,11,1,11
Atotonilco el Alto,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,-5,1,-5
Rosario,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,-2,1,-2
Martinez de la Torre,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,-9,1,-9
Cardenas,NA,NA,NA,NA,NA,-4,NA,NA,18,-31,2,-2,-31,5,-6.2
Cadereyta Jimenez,NA,NA,NA,NA,NA,11,NA,NA,NA,-15,NA,0,-15,3,-5
Melchor Muzquiz,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,9,1,9
Cuautla,NA,NA,NA,NA,NA,-5,NA,NA,11,47,-1,0,47,5,9.4
Apatzingan,NA,NA,NA,NA,NA,NA,-3,-32,NA,-11,-2,-3,-32,5,-6.4
San Luis Rio Colorado,NA,NA,NA,NA,NA,NA,21,2,-20,NA,NA,NA,21,3,7
Zacapu,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,20,2,10
Poza Rica,NA,NA,NA,NA,NA,NA,-28,66,2,0,-5,-2,66,6,11
Los Reyes de Salgado,NA,NA,NA,NA,NA,NA,-62,NA,NA,NA,NA,NA,-62,1,-62
Arandas,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-3,1,-3
Huatabampo,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-2,1,-2
Rio Bravo,NA,NA,NA,NA,NA,NA,NA,21,-15,2,-1,-1,21,5,4.2
San Marcos,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,1,4
Namiquipa,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,-2,1,-2
Acatlan,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Jiquilpan,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Tlapacoyan,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Pueblo Viejo,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Abasolo,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,-2,1,-2
Jojutla,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,-2,1,-2
Cintalapa,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Ahome,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,70,1,70
Centro,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,1,-1
Guasave,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,1,-6
Jalapa,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-3,1,-3
Atizapan de Zaragoza,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,-4,1,-4
Tuxtla,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,-5,1,-5
Victoria,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,-5,1,-5
Papantla,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,1,-2
Carmen,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,1,-1
Tultitlan,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,1,-2
El Mante,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,-8,1,-8
Cosamaloapan,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,-5,1,-5
Coacalco,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,-8,1,-8
Huimanguillo,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-3,1,-3
Compostela,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,1,-6
Tecamac,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,1,-1
Zitacuaro,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,1,-1
Tihuatlan,NA,NA,NA,NA,NA,NA,NA,NA,-7,NA,NA,NA,-7,1,-7
Allende,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,1,-2
Cancun,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,21,4,47,3,15.66666667
Tula,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,-1,1,-35,3,-11.66666667
Chetumal,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,3,0.333333333
Tecoman,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,1,-1,-13,3,-4.333333333
Tianguistenco,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,1,5,3,1.666666667
Texcoco de Mora,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,6,NA,-13,2,-6.5
Cuauhtemoc,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,3,NA,-9,2,-4.5
Ojo de Agua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,-8,1,-8
Miramar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,1,-2
Playa del Carmen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,1,-2
Tepexpan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,13,13,2,6.5
Ciudad Cuauhtemoc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,7
San Jose del Cabo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,-17,1,-17
Cabo San Lucas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
