,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Takamatsu,41.0,419429.0,45.0,332996.0,43.0,329792.0,39.0,316752.0,34.0,274433.0,31.0,228287.0,47.0,124677.0,30.0,111224.0,33.0,79907.0,41.0,46618.0,38.0,41825.0,30.0,37404.0
Yokosuka,42.0,418325.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Gifu,43.0,413136.0,33.0,402885.0,32.0,410304.0,25.0,410456.0,20.0,385709.0,19.0,304530.0,23.0,214031.0,20.0,172353.0,23.0,107527.0,27.0,62750.0,28.0,51688.0,27.0,40236.0
Fujisawa,44.0,409657.0,34.0,379284.0,37.0,350378.0,44.0,300267.0,52.0,229069.0,74.0,124698.0,76.0,84686.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hirakata,45.0,407978.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kashiwa,46.0,404012.0,49.0,327915.0,50.0,305137.0,61.0,239291.0,85.0,150688.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Miyazaki,47.0,400583.0,54.0,305870.0,56.0,287487.0,53.0,264986.0,60.0,202982.0,54.0,158396.0,46.0,125685.0,61.0,66508.0,47.0,58901.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Toyonaka,48.0,389341.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Nagano,49.0,381511.0,39.0,360190.0,39.0,347025.0,37.0,324494.0,31.0,285431.0,51.0,160567.0,41.0,143580.0,52.0,76980.0,37.0,73926.0,55.0,37356.0,39.0,41144.0,31.0,37272.0
Ichinomiya,50.0,378566.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Toyohashi,51.0,376665.0,37.0,364951.0,41.0,338034.0,42.0,304345.0,40.0,258530.0,33.0,215527.0,40.0,145942.0,24.0,142759.0,17.0,138863.0,23.0,65216.0,25.0,54742.0,-1.0,0.0
Okazaki,52.0,372357.0,43.0,336694.0,49.0,306851.0,55.0,262482.0,56.0,210555.0,48.0,166133.0,65.0,96069.0,47.0,84155.0,41.0,65507.0,52.0,38537.0,-1.0,0.0,-1.0,0.0
Takasaki,53.0,371302.0,70.0,239902.0,68.0,236566.0,68.0,221471.0,68.0,193127.0,64.0,142274.0,62.0,97941.0,56.0,71045.0,46.0,59991.0,57.0,36886.0,34.0,44146.0,38.0,35259.0
Wakayama,54.0,370364.0,30.0,432177.0,24.0,445231.0,20.0,453391.0,17.0,418748.0,15.0,337762.0,21.0,226419.0,16.0,195209.0,21.0,117487.0,18.0,83598.0,16.0,77756.0,15.0,68525.0
Nara,55.0,366591.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Takatsuki,56.0,357359.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Suita,57.0,355798.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Asahikawa,58.0,347095.0,40.0,359525.0,35.0,359133.0,34.0,352694.0,30.0,288550.0,42.0,188374.0,45.0,126124.0,43.0,87519.0,29.0,82577.0,30.0,61398.0,-1.0,0.0,-1.0,0.0
Kōchi,59.0,343393.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kawagoe,60.0,342670.0,46.0,330845.0,51.0,304921.0,56.0,259327.0,72.0,171016.0,84.0,107574.0,-1.0,0.0,99.0,38432.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Iwaki,61.0,342249.0,38.0,360102.0,36.0,355808.0,36.0,342197.0,25.0,327228.0,25.0,260198.0,27.0,188967.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tokorozawa,62.0,341924.0,48.0,330196.0,53.0,303091.0,64.0,236521.0,90.0,136679.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Maebashi,63.0,340291.0,61.0,284211.0,57.0,286370.0,52.0,265240.0,54.0,223634.0,44.0,181993.0,33.0,156999.0,44.0,87075.0,27.0,84931.0,28.0,62391.0,29.0,50188.0,26.0,41772.0
Kōriyama,64.0,338712.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ōtsu,65.0,337634.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Koshigaya,66.0,326313.0,53.0,308361.0,58.0,285370.0,67.0,223285.0,87.0,139484.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Akita,67.0,323600.0,52.0,317666.0,54.0,302497.0,50.0,284949.0,49.0,235970.0,37.0,203715.0,29.0,167550.0,39.0,96172.0,-1.0,0.0,22.0,67261.0,53.0,36660.0,42.0,34402.0
Naha,68.0,315954.0,55.0,301053.0,52.0,304837.0,46.0,295874.0,33.0,276429.0,32.0,223004.0,91.0,75779.0,63.0,65844.0,45.0,60555.0,34.0,53917.0,24.0,55577.0,25.0,43169.0
Yokkaichi,69.0,307766.0,58.0,291110.0,60.0,274271.0,57.0,255436.0,51.0,229290.0,40.0,196016.0,31.0,158624.0,66.0,63754.0,55.0,51832.0,60.0,35216.0,55.0,33844.0,-1.0,0.0
Kasugai,70.0,305569.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kurume,71.0,302402.0,71.0,236533.0,71.0,228324.0,69.0,217054.0,65.0,194208.0,57.0,155039.0,50.0,121592.0,41.0,89585.0,28.0,83014.0,43.0,43669.0,44.0,39251.0,43.0,33359.0
Aomori,72.0,299520.0,56.0,297974.0,55.0,287847.0,48.0,287685.0,48.0,240120.0,38.0,202210.0,55.0,114559.0,36.0,99197.0,31.0,82152.0,38.0,48926.0,31.0,47141.0,41.0,34909.0
Morioka,73.0,298348.0,59.0,288829.0,69.0,235468.0,65.0,229134.0,64.0,196083.0,55.0,157470.0,52.0,117636.0,49.0,79578.0,42.0,62290.0,46.0,42424.0,35.0,43562.0,-1.0,0.0
Fukushima,74.0,292590.0,57.0,291101.0,59.0,277591.0,54.0,262819.0,53.0,227511.0,67.0,139077.0,63.0,97616.0,90.0,48398.0,56.0,42116.0,59.0,35834.0,54.0,34083.0,-1.0,0.0
Akashi,75.0,290959.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tsu,76.0,285746.0,-1.0,0.0,101.0,157269.0,101.0,145054.0,97.0,125230.0,80.0,110903.0,64.0,96436.0,59.0,68641.0,50.0,56117.0,40.0,47737.0,30.0,47362.0,35.0,36103.0
Nagaoka,77.0,282674.0,86.0,193418.0,87.0,185949.0,82.0,180321.0,76.0,162357.0,62.0,148340.0,67.0,94856.0,60.0,67035.0,48.0,57959.0,47.0,41626.0,43.0,39463.0,-1.0,0.0
Shimonoseki,78.0,280947.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ichihara,79.0,280416.0,62.0,278293.0,62.0,257741.0,70.0,216364.0,82.0,156041.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hakodate,80.0,279127.0,60.0,287664.0,48.0,307248.0,38.0,320280.0,46.0,241710.0,27.0,243018.0,19.0,229084.0,15.0,203922.0,12.0,197358.0,10.0,144770.0,12.0,99886.0,12.0,85341.0
Ibaraki,81.0,274822.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Yao,82.0,271460.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mito,83.0,268750.0,67.0,246704.0,70.0,235048.0,71.0,215700.0,71.0,173866.0,66.0,139489.0,89.0,77553.0,62.0,66391.0,54.0,52928.0,48.0,39465.0,36.0,43236.0,34.0,36215.0
Kakogawa,84.0,266937.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Fukui,85.0,266796.0,66.0,252333.0,63.0,252756.0,60.0,241046.0,62.0,200588.0,60.0,149815.0,57.0,108461.0,37.0,98073.0,39.0,66620.0,31.0,56673.0,23.0,56275.0,22.0,50222.0
Tokushima,86.0,264548.0,63.0,268262.0,61.0,263440.0,59.0,249334.0,55.0,223502.0,43.0,182853.0,44.0,133372.0,28.0,119697.0,26.0,90698.0,21.0,68557.0,18.0,70353.0,17.0,63744.0
Sasebo,87.0,261101.0,69.0,240897.0,66.0,244765.0,58.0,251238.0,44.0,247913.0,23.0,262524.0,25.0,203550.0,14.0,206059.0,19.0,133259.0,17.0,87191.0,14.0,94922.0,16.0,68330.0
Hiratsuka,88.0,260780.0,65.0,254687.0,65.0,246060.0,74.0,214372.0,73.0,163764.0,81.0,108342.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Fuchū,89.0,255506.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Yamagata,90.0,254244.0,64.0,255454.0,64.0,249596.0,63.0,237069.0,59.0,204144.0,41.0,188602.0,36.0,150470.0,58.0,69249.0,40.0,66141.0,39.0,48458.0,32.0,45414.0,28.0,40202.0
