,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1950,city.7,1940,city.8,1931,city.9,1921,city.10,1911,city.11,1900
Dundee,64,150250,64,146788,51,161078,35,172343,33,182186,29,183015,22,177392,23,179037,21,175654,19,168326,18,165087,18,161214
Middlesbrough,65,146778,47,175130,61,144589,40,158223,9,395521,33,157436,27,147352,28,139807,29,138395,27,131111,36,104847,37,91345
Cambridge,66,145852,72,127313,87,91979,79,87113,61,99664,63,95538,62,81582,59,78229,67,66898,75,59610,-1,0,-1,0
Ipswich,67,145003,71,127820,68,130150,49,129778,50,122730,45,117418,46,104862,48,95122,49,87547,54,80112,56,73919,54,66684
Birkenhead,68,143093,68,138225,60,150160,64,99123,44,138130,38,141807,30,142578,27,144474,25,147805,25,145625,24,130815,27,110995
Reading,69,142851,35,206094,62,142930,27,194783,45,133463,43,119917,38,114284,44,100409,45,97175,44,92450,52,75214,48,72269
West Bromwich,70,137078,69,136987,63,140069,43,153735,37,166631,60,96064,54,88081,56,82799,53,81379,58,76508,62,68301,56,65251
Gloucester,71,136400,73,123687,76,101605,61,106512,71,90028,89,69852,84,67351,93,56567,87,52951,86,52763,86,50056,79,48085
Newport,72,128078,74,120617,69,129909,55,115995,52,111826,50,108143,44,105595,47,95949,48,89208,43,96993,44,83712,53,67345
Preston,73,122779,88,87524,70,126122,37,166728,64,96823,47,113350,35,119374,38,113259,35,119062,35,118609,28,117113,25,113073
Havant,74,120760,75,116823,73,119774,-1,0,54,108831,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Blackburn,75,117970,77,108726,-1,0,59,109615,59,101163,52,106245,40,111291,39,113045,32,122735,30,126664,22,133107,20,129298
Winchester,76,116636,80,107272,82,96463,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cheltenham,77,116433,76,110386,75,103110,78,87266,90,75555,85,72300,89,62821,99,51972,91,49480,89,48822,88,48961,74,49448
Maidstone,78,113140,86,93660,85,95056,83,86132,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Exeter,79,111770,79,107500,81,98197,75,88284,68,93822,75,80390,67,75510,70,69276,70,66013,74,60733,89,48794,81,47202
Doncaster,80,109869,18,289906,16,288988,-1,0,82,81190,66,86394,60,82180,67,71637,75,63355,80,55059,90,48514,-1,0
Derry,81,107853,82,104701,-1,0,76,87633,-1,0,-1,0,-1,0,-1,0,99,45224,95,45223,-1,0,99,39938
Basingstoke,82,107347,85,93968,99,81228,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Darlington,83,106081,89,86480,78,101019,84,85509,77,85922,68,84277,56,84948,64,75930,59,72155,68,66028,74,55641,85,44584
Worthing,84,100283,83,101986,83,96288,73,90718,75,87819,-1,0,76,69452,90,59197,94,46232,-1,0,-1,0,-1,0
Woking and Byfleet,85,99248,84,96480,-1,0,67,92785,88,76359,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Great Yarmouth,86,97263,87,90922,90,87776,-1,0,-1,0,-1,0,-1,0,95,53879,83,56874,73,61298,73,55944,70,51311
Worcester,87,97066,-1,0,89,89568,-1,0,94,73077,92,65963,94,59766,96,53346,89,50574,88,48936,92,48082,82,46656
Chesterfield,88,93283,92,85110,79,99425,-1,0,-1,0,-1,0,78,68684,79,64720,74,64298,72,62013,76,53424,-1,0
Hartlepool,89,92047,90,86030,86,92094,69,91746,63,97195,77,77057,71,72752,55,88575,65,68189,63,68763,64,63951,40,85432
Grimsby,90,88243,-1,0,-1,0,70,91571,65,95640,58,96711,52,94479,52,92316,46,92507,50,84089,55,74675,58,63154
Halifax,91,88134,94,83440,-1,0,96,76788,69,91053,59,96165,50,98409,45,97432,43,98160,41,99621,37,101626,30,104969
Bedford,92,87590,96,82660,-1,0,99,75698,95,72931,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nuneaton,93,86552,95,83070,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chester,94,86011,97,81650,96,84254,88,80221,-1,0,97,59393,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Weston-super-Mare,95,83641,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
St Albans,97,82146,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Harlow,98,82059,-1,0,-1,0,93,79223,85,77964,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Redditch,99,81919,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Renfrew,-1,0,37,202158,34,201240,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Thurrock,-1,0,66,143173,66,132375,51,127071,49,125006,46,114335,61,82178,-1,0,-1,0,-1,0,-1,0,-1,0
Fareham and Portchester,-1,0,78,107990,80,99317,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hastings,-1,0,91,85830,-1,0,-1,0,96,72824,91,66544,88,65508,80,64383,71,65277,66,67313,68,61104,55,65583
Burnley,-1,0,93,84112,88,91184,98,76415,89,76157,74,80641,55,85058,54,88738,42,98370,38,106049,34,106357,33,97048
Stevenage,-1,0,98,80970,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Slough,-1,0,-1,0,74,108057,62,106314,76,87724,73,80811,87,66280,-1,0,-1,0,-1,0,-1,0,-1,0
Hemel Hempstead,-1,0,-1,0,91,87379,89,80198,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Oldbury and Smethwick,-1,0,-1,0,-1,0,44,153333,39,163357,-1,0,32,130314,33,125176,52,84406,51,82476,58,70762,42,79749
Watford,-1,0,-1,0,-1,0,60,109561,84,78068,79,75603,70,73137,78,65791,-1,0,-1,0,-1,0,-1,0
Sutton Coldfield,-1,0,-1,0,-1,0,63,102691,81,83624,86,72287,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Gillingham,-1,0,-1,0,-1,0,68,92531,73,88549,83,72972,72,70784,69,70699,77,61509,82,54231,79,52393,90,42540
Southport,-1,0,-1,0,-1,0,74,88626,79,84960,70,82088,57,84066,58,78632,57,78996,56,76888,60,69668,78,48173
Eastbourne,-1,0,-1,0,-1,0,80,86719,-1,0,96,60951,96,57871,94,56455,80,57403,71,63871,78,52569,88,43323
South Shields,-1,0,-1,0,-1,0,82,86556,60,100245,48,109598,43,106680,40,110472,37,113533,34,120739,32,108660,32,100967
Paisley,-1,0,-1,0,-1,0,85,84342,66,95356,62,95894,53,93724,51,92786,50,86406,48,89440,43,84597,43,79481
Crawley,-1,0,-1,0,-1,0,90,80178,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Lincoln,-1,0,-1,0,-1,0,92,80072,93,74168,76,77168,75,69405,82,63122,69,66241,67,66581,72,57318,76,48885
Scunthorpe,-1,0,-1,0,-1,0,94,79043,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Saint Albans,-1,0,-1,0,-1,0,97,76744,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Wallasey,-1,0,-1,0,-1,0,-1,0,62,97569,56,103267,48,101411,49,94255,44,97655,47,90920,51,78539,66,53678
Rhondda,-1,0,-1,0,-1,0,-1,0,72,89022,57,100363,39,111449,37,121939,28,141355,20,162720,20,152863,24,113785
Aldridge-Brownhills,-1,0,-1,0,-1,0,-1,0,74,88272,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Gosport,-1,0,-1,0,-1,0,-1,0,83,78930,-1,0,95,58297,-1,0,-1,0,-1,0,-1,0,-1,0
Newcastle-under-Lyme,-1,0,-1,0,-1,0,-1,0,86,77320,-1,0,73,70084,81,63438,-1,0,-1,0,-1,0,-1,0
Bootle,-1,0,-1,0,-1,0,-1,0,91,74339,69,82870,68,75055,65,74171,58,76873,57,76675,59,69911,61,58628
Motherwell,-1,0,-1,0,-1,0,-1,0,92,74232,84,72859,79,68284,72,68433,73,64763,61,69726,-1,0,-1,0
Epsom and Ewell,-1,0,-1,0,-1,0,-1,0,97,72120,-1,0,99,56606,88,59963,-1,0,-1,0,-1,0,-1,0
Hove,-1,0,-1,0,-1,0,-1,0,98,72056,82,73076,74,69547,92,58889,85,55047,91,46598,-1,0,-1,0
Carlisle,-1,0,-1,0,-1,0,-1,0,99,71838,87,71111,82,67962,87,60221,81,57302,85,52945,93,46044,83,45521
Greenock,-1,0,-1,0,-1,0,-1,0,-1,0,81,74610,65,76393,57,81796,56,78949,52,82142,53,75186,52,68172
Tynemouth,-1,0,-1,0,-1,0,-1,0,-1,0,88,70155,85,66658,77,66507,72,64929,70,64185,69,58857,69,51426
Barrow-in-Furness,-1,0,-1,0,-1,0,-1,0,-1,0,93,64914,83,67591,76,66995,68,66216,59,75127,65,63830,62,57671
Merthyr Tydfil,-1,0,-1,0,-1,0,-1,0,-1,0,98,59043,92,61199,83,62341,61,71174,53,81185,48,81032,51,69263
Coatbridge,-1,0,-1,0,-1,0,-1,0,-1,0,99,53922,-1,0,-1,0,-1,0,98,43916,-1,0,-1,0
Beeston and Stapleford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,51,97737,-1,0,-1,0,-1,0,-1,0,-1,0
Wishaw,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,68223,73,68410,-1,0,-1,0,-1,0,-1,0
North Shields,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,66606,-1,0,-1,0,-1,0,-1,0,-1,0
Stretford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,61918,89,59724,84,56875,-1,0,-1,0,-1,0
Keighley,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,56960,-1,0,-1,0,-1,0,-1,0,93,41607
Hanley,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,61,77856,-1,0,-1,0,-1,0,59,61607
Leith,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,63,76085,-1,0,-1,0,49,80558,45,77495
Handsworth,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,66,72674,-1,0,-1,0,61,68641,67,52999
Chiswick,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,61505,-1,0,-1,0,-1,0,-1,0
Wood Green,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,53234,-1,0,-1,0,-1,0,-1,0
Dewsbury,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,52989,86,54329,81,54493,75,53480,-1,0
Ashton-under-Lyne,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,51661,-1,0,94,45276,86,43974
Burton upon Trent,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,49513,87,51400,91,48330,72,50475
Aberdare,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,48745,79,55976,83,50871,87,43432
Clydebank,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,47069,92,46554,-1,0,-1,0
Torquay,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,46247,-1,0,-1,0,-1,0
Mansfield,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,46112,96,44413,-1,0,-1,0
Crewe,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,46127,90,48402,95,45067,91,42172
Leigh,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,45375,94,45512,97,44145,98,40053
Partick,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,60,74282,63,66828,65,54371
Scarborough,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,46299,-1,0,-1,0
Eccles,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,44259,-1,0,-1,0
Govan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,42,89647,47,76437
Devonport,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,46,81750,49,70425
King's Norton and Northfield,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,47,81294,63,57160
Aston Manor,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,54,75078,46,77341
Accrington,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,45089,89,43133
Dover,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,43608,92,41839
Jarrow,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71,50983
Ilford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,41236
Lancaster,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,40310
