,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
El Oro de Hidalgo,36.0,16341.0,24.0,21886.0,42.0,14844.0,85.0,7877.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
San Juan de los Lagos,37.0,16074.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Lagos de Moreno,38.0,16032.0,53.0,12211.0,-1.0,0.0,-1.0,0.0,74.0,12508.0,-1.0,0.0,82.0,23312.0,-1.0,0.0,-1.0,0.0,92.0,63646.0,91.0,80926.0,90.0,98206.0
Tepic,39.0,15550.0,32.0,16872.0,48.0,13834.0,49.0,15306.0,48.0,17578.0,77.0,24695.0,33.0,54092.0,38.0,87548.0,45.0,194242.0,40.0,268185.0,41.0,342840.0,40.0,429351.0
Silao,40.0,15410.0,42.0,14172.0,55.0,12904.0,57.0,13910.0,65.0,13944.0,-1.0,0.0,78.0,24199.0,60.0,57692.0,101.0,77036.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Jiquilpan de Jimenez,41.0,15242.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,91.0,23084.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Fresnillo,42.0,15028.0,86.0,6021.0,31.0,16239.0,43.0,16214.0,30.0,24605.0,59.0,29965.0,53.0,36986.0,74.0,45407.0,61.0,132444.0,72.0,114733.0,85.0,97023.0,83.0,112549.0
Huamantla,43.0,14785.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hidalgo del Parral,44.0,14772.0,41.0,14176.0,39.0,15263.0,32.0,19765.0,31.0,24268.0,48.0,32198.0,48.0,41567.0,58.0,58564.0,97.0,80290.0,78.0,100133.0,78.0,106875.0,84.0,111814.0
Matehuala,45.0,14689.0,34.0,16548.0,45.0,14439.0,59.0,13831.0,51.0,16559.0,101.0,19740.0,92.0,19723.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
San Andres Tuxtla,46.0,14353.0,62.0,10157.0,68.0,8934.0,76.0,8965.0,87.0,10289.0,-1.0,0.0,91.0,19867.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
San Cristobal de las Casas,47.0,14234.0,45.0,13745.0,53.0,13318.0,41.0,16704.0,-1.0,0.0,-1.0,0.0,81.0,23410.0,-1.0,0.0,-1.0,0.0,88.0,73388.0,-1.0,0.0,-1.0,0.0
Salamanca,48.0,13671.0,47.0,13507.0,56.0,12780.0,67.0,12052.0,77.0,12100.0,96.0,22189.0,59.0,32279.0,52.0,68034.0,53.0,162351.0,67.0,123190.0,72.0,137000.0,73.0,160170.0
Izucar de Matamoros,49.0,13057.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Heroica Zamora,50.0,12737.0,37.0,15158.0,47.0,13993.0,52.0,14697.0,58.0,15401.0,87.0,23460.0,61.0,32097.0,57.0,60689.0,65.0,119235.0,54.0,185445.0,58.0,216048.0,58.0,250113.0
Valle de Santiago,51.0,12702.0,51.0,12716.0,-1.0,0.0,-1.0,0.0,76.0,12347.0,-1.0,0.0,86.0,20948.0,-1.0,0.0,74.0,101448.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sahuayo,52.0,12223.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,84.0,10590.0,-1.0,0.0,73.0,25764.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sombrerete,53.0,12086.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,63.0,29152.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sayula,54.0,12068.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Teziutlan,55.0,11698.0,38.0,15092.0,52.0,13372.0,69.0,11653.0,98.0,8477.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,85.0,76282.0,80.0,102727.0,78.0,122595.0
Juchitan de Zaragoza,56.0,11576.0,44.0,13913.0,54.0,13005.0,53.0,14501.0,60.0,14671.0,100.0,19887.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Zacatlan,57.0,10996.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,60.0,29864.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
