,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
bronnicy,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
kaliningrad,NA,NA,293,-6,-30,-27,3,-7,0,7,-1
Tashkent,NA,NA,59,NA,NA,NA,NA,5,0,0,0
Baki,NA,NA,-13,13,-4,-7,-2,1,0,6,-1
Kokand,NA,NA,-12,NA,NA,NA,NA,-155,0,14,6
0mangan,NA,NA,122,NA,NA,NA,NA,-93,25,28,10
Kirovograd,NA,NA,29,-24,-24,-22,-1,-11,-7,-4,-12
Samarkand,NA,NA,101,NA,NA,NA,NA,-9,-30,-2,-5
ivanovo,NA,NA,44,16,2,-14,-4,-8,-12,-2,-6
Andidjan,NA,NA,15,NA,NA,NA,NA,-70,17,23,8
vladikavkaz,NA,NA,15,14,-20,-14,0,-12,-12,7,-5
Marguilan,NA,NA,33,NA,NA,NA,NA,-166,-2,35,19
majkop,NA,NA,107,-4,-66,-36,-6,-22,-1,14,-14
Osh,NA,NA,134,NA,NA,NA,NA,-84,8,-5,17
blagovschsk,NA,NA,62,11,-71,-14,-4,-1,1,8,-5
Khoutchand,NA,NA,63,NA,NA,NA,NA,-114,14,1,-5
nizhntagil,NA,NA,103,-14,55,16,-9,-18,-3,-6,-6
vladivostok,NA,NA,-20,68,-5,-9,8,1,1,-6,-1
Batoumi,NA,NA,-58,3,-25,-61,-27,-4,-8,-20,5
azov,NA,NA,130,-160,NA,NA,NA,NA,NA,NA,NA
sergiposad,NA,NA,149,-86,18,-9,-31,-22,-10,1,-7
buturlinvka,NA,NA,141,-30,NA,NA,NA,NA,NA,NA,NA
vyborg,NA,NA,29,1,-88,-83,-1,NA,NA,NA,NA
Almaty,NA,NA,166,NA,NA,105,0,1,7,4,5
izhevsk,NA,NA,-127,73,15,0,5,3,4,-3,0
votkinsk,NA,NA,-102,-91,14,-33,-13,-25,-4,-10,5
Istaravshan,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA
Lougansk,NA,NA,-6,95,18,-16,6,-7,-6,-3,-5
shamaxi,NA,NA,-87,NA,NA,NA,NA,NA,NA,NA,NA
engeljs,NA,NA,-1,32,-3,-39,7,-11,-11,8,6
Ashgabat,NA,NA,7,NA,NA,NA,NA,80,4,42,10
jarcevo,NA,NA,-145,-80,14,NA,NA,NA,NA,NA,NA
armavir,NA,NA,65,122,-60,-25,-11,-25,-24,19,0
nikolajevsk,NA,NA,1,-65,NA,NA,NA,NA,NA,NA,NA
dubovka,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA
shahty,NA,NA,-1,52,64,3,-26,-31,-11,1,-8
miass,NA,NA,-48,-45,NA,88,-13,-25,-5,-10,-8
Zharkent,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
balakovo,NA,NA,-1,-53,NA,NA,39,24,8,8,-7
nevjansk,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA
Voznesensk,NA,NA,-5,-17,NA,NA,NA,NA,NA,NA,NA
Djizzak,NA,NA,16,NA,NA,NA,NA,NA,-89,60,19
groznyj,NA,NA,7,140,10,-9,-2,-11,-5,-81,35
kalach,NA,NA,-79,-64,NA,NA,NA,NA,NA,NA,NA
Melitopol,NA,NA,62,34,52,-40,7,-20,-14,-10,-7
Quba,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA
slav0kuban,NA,NA,-6,31,NA,NA,NA,NA,NA,NA,NA
habarovsk,NA,NA,-35,119,55,0,1,-3,-2,0,-4
rjazhsk,NA,NA,-167,-66,NA,NA,NA,NA,NA,NA,NA
temrjuk,NA,NA,62,-69,NA,NA,NA,NA,NA,NA,NA
Kosta0i,NA,NA,60,NA,NA,52,6,4,15,-5,0
Oleksandriya,NA,NA,-76,-21,NA,-46,22,NA,-17,NA,NA
Chust,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
aleksejevka,NA,NA,-2,-55,NA,NA,NA,NA,NA,NA,NA
Yalta,NA,NA,48,95,-110,NA,-33,NA,NA,NA,NA
biruch,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
pavlovo,NA,NA,-14,-19,17,NA,NA,NA,NA,NA,NA
bogorodsk,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
Volgrad,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
blagodarnyj,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA
kamenskshah,NA,NA,-1,5,109,-38,-44,-42,NA,NA,NA
gushrustaln,NA,NA,4,12,53,-69,-23,NA,NA,NA,NA
ljudinovo,NA,NA,26,-18,NA,NA,NA,NA,NA,NA,NA
rasskazovo,NA,NA,17,103,-108,NA,NA,NA,NA,NA,NA
klincy,NA,NA,4,75,-6,NA,NA,NA,NA,NA,NA
Salyan,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA
soljileck,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
Taraz,NA,NA,-2,NA,NA,153,19,6,1,9,-4
Khmel'nik,NA,NA,-186,NA,NA,NA,NA,NA,NA,NA,NA
chita,NA,NA,-4,221,-17,4,0,-5,3,-16,1
cherkessk,NA,NA,-192,44,NA,NA,-44,6,17,11,11
urjupinsk,NA,NA,-46,NA,NA,NA,NA,NA,NA,NA,NA
Tourkistan,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,76
Shymkent,NA,NA,-77,NA,NA,201,14,2,-1,7,28
verhuralsk,NA,NA,-254,NA,NA,NA,NA,NA,NA,NA,NA
ussurijsk,NA,NA,-4,172,8,-20,-19,-28,-15,4,-2
novosibirsk,NA,NA,NA,176,10,8,1,-2,0,0,1
Donetsk,NA,NA,NA,-25,20,2,-5,-3,-2,-4,-3
orehovozuev,NA,NA,NA,-37,-25,-47,-41,-27,-18,-20,-4
Makiivka,NA,NA,NA,160,56,-2,-9,-19,-10,-6,-6
Stakhanov/Brianka,NA,NA,NA,-18,51,-13,-15,-40,-22,-30,-16
Bila Tserkva,NA,NA,NA,80,-75,-28,14,13,8,10,0
Dneprodzerzhinsk,NA,NA,NA,40,64,-14,-19,-19,-7,-11,-8
serov,NA,NA,NA,11,-9,-15,-59,-53,-27,-11,-2
Pervomaisk,NA,NA,NA,171,-126,NA,NA,NA,NA,NA,NA
mahachkala,NA,NA,NA,124,29,-17,7,4,12,36,14
kislovodsk,NA,NA,NA,-86,-31,-26,-43,-32,4,32,-1
Krivii Rig,NA,NA,NA,95,94,13,-1,-1,-1,-3,-2
kropotkin,NA,NA,NA,-103,-63,-79,-3,NA,NA,NA,NA
anzherosud,NA,NA,NA,142,17,-1,-71,-57,-24,NA,NA
E0kieve,NA,NA,NA,130,70,-43,-63,-45,-23,-34,NA
lysjva,NA,NA,NA,130,-9,-37,-66,NA,NA,NA,NA
Kostryantinivka,NA,NA,NA,100,76,-80,-26,-34,-48,NA,NA
vichuga,NA,NA,NA,104,-7,-108,NA,NA,NA,NA,NA
essentuki,NA,NA,NA,109,NA,NA,-116,NA,NA,NA,2
Gorlivka,NA,NA,NA,113,141,-2,-18,-13,-15,-23,-13
Smila,NA,NA,NA,-61,-64,NA,NA,NA,NA,NA,NA
kamenj0obi,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA
batajsk,NA,NA,NA,-1,19,-53,-19,-43,NA,14,11
Lida,NA,NA,NA,67,-62,NA,NA,NA,NA,NA,NA
kemerovo,NA,NA,NA,54,135,25,0,-2,-5,-1,-3
furmanov,NA,NA,NA,-156,-28,NA,NA,NA,NA,NA,NA
pavlovposad,NA,NA,NA,22,19,-76,-22,NA,NA,NA,NA
Borisovka,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA
Akwa (Sokhoumi),NA,NA,NA,-4,29,-35,20,-23,-22,NA,NA
beloreck,NA,NA,NA,26,17,-46,-38,NA,NA,NA,NA
berezniki,NA,NA,NA,66,57,30,-4,-10,-12,-21,-17
leninskkuzn,NA,NA,NA,-26,120,-1,-52,-43,15,-75,-30
Zhmerinka,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA
tihoreck,NA,NA,NA,-6,6,-72,NA,NA,NA,NA,NA
kimry,NA,NA,NA,52,11,NA,NA,NA,NA,NA,NA
minvody,NA,NA,NA,-18,-18,NA,NA,NA,NA,NA,NA
chusovoj,NA,NA,NA,17,61,-48,NA,NA,NA,NA,NA
dimitrvgrad,NA,NA,NA,-14,-2,-37,47,0,8,16,-15
tejkovo,NA,NA,NA,-24,NA,NA,NA,NA,NA,NA,NA
bobrov,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA
petrkamchat,NA,NA,NA,-2,35,61,46,1,12,-48,-13
chapajevsk,NA,NA,NA,-95,131,-37,-59,-60,-2,NA,NA
Novooukrainka,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
mariinsk,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
rossosh,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
Polonne,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA
Toul'tchin,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
Altchevsk,NA,NA,NA,-2,132,2,-22,-46,-19,-10,-9
kyshtym,NA,NA,NA,-30,NA,NA,NA,NA,NA,NA,NA
0rofominsk,NA,NA,NA,-2,20,NA,NA,NA,NA,NA,NA
liski,NA,NA,NA,-21,NA,NA,NA,NA,NA,NA,NA
budjonovsk,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
rodniki,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA
shumerlja,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA
Shpola,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA
Lviv,NA,NA,NA,NA,282,-10,0,-1,1,-1,-1
magnitgorsk,NA,NA,NA,NA,-27,17,-10,-12,-3,-2,-4
murmansk,NA,NA,NA,NA,-1,12,-2,-5,5,-26,-16
prokopjevsk,NA,NA,NA,NA,27,30,-20,-31,-22,-25,-13
Tchernivtsi,NA,NA,NA,NA,80,-10,-22,-20,1,-5,5
dzerdginsk,NA,NA,NA,NA,48,-1,-11,-12,-7,-10,-14
Kramatorsk,NA,NA,NA,NA,41,-30,-11,-18,-13,-11,-12
Lisitchansk,NA,NA,NA,NA,87,-36,-39,-40,-15,-22,-20
novmoskovsk,NA,NA,NA,NA,162,0,-25,-31,-30,-11,-15
komsomlamur,NA,NA,NA,NA,105,47,-23,-5,5,-20,-7
Krasnii Loutch,NA,NA,NA,NA,-8,0,-71,-49,-12,NA,NA
Ivano-Frankivsk,NA,NA,NA,NA,130,-81,16,17,29,1,3
mytischi,NA,NA,NA,NA,10,-7,-30,-17,-12,11,10
Nikopol',NA,NA,NA,NA,40,-36,15,-24,-13,-16,-18
cheremhovo,NA,NA,NA,NA,87,33,-97,NA,NA,NA,NA
sochi,NA,NA,NA,NA,62,41,18,1,0,-1,3
kamenskural,NA,NA,NA,NA,-77,64,-21,-27,-7,-18,-7
Ternopil,NA,NA,NA,NA,14,-120,45,53,30,17,-9
koroljov (Kaliningrad),NA,NA,NA,NA,-18,-15,34,-15,-7,-13,11
Torez,NA,NA,NA,NA,4,9,-62,-69,NA,NA,NA
ljubercy,NA,NA,NA,NA,119,15,12,-24,-18,-11,14
novoshahtsk,NA,NA,NA,NA,11,54,-59,-40,-27,-8,-7
0ljchik,NA,NA,NA,NA,85,4,33,4,-10,27,-20
Borislav,NA,NA,NA,NA,-44,NA,NA,NA,NA,NA,NA
kopejsk,NA,NA,NA,NA,-4,102,-49,-54,-26,1,-6
svobodnyj,NA,NA,NA,NA,29,-71,NA,NA,NA,NA,NA
kisiljovsk,NA,NA,NA,NA,70,80,-52,-53,-16,-41,NA
pervouralsk,NA,NA,NA,NA,81,27,-16,-27,-11,-3,-12
belovo,NA,NA,NA,NA,41,58,-58,-39,NA,NA,NA
elektrostal,NA,NA,NA,NA,37,43,-19,-26,-10,-3,7
karabash,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA
Kolomiya,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
rubcovsk,NA,NA,NA,NA,-1,90,-13,-31,-10,-7,-16
Drogobitch,NA,NA,NA,NA,-19,NA,NA,NA,NA,NA,NA
Sverdlovsk,NA,NA,NA,NA,-1,-13,-42,NA,NA,NA,NA
partizansk,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA
balashiha,NA,NA,NA,NA,-2,78,-23,-21,-12,25,31
abakan,NA,NA,NA,NA,-80,-30,35,18,5,17,-6
artjom,NA,NA,NA,NA,-45,43,-37,-36,-18,0,-3
Debal'tseve,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA
belogorsk,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA
krasnysulin,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA
Strii,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA
kulebaki,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA
revda,NA,NA,NA,NA,-12,-3,NA,NA,NA,NA,NA
Drouzhkivka,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dzerzhinsk,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
himki,NA,NA,NA,NA,-6,71,29,-5,-4,4,20
Korosten',NA,NA,NA,NA,-116,NA,NA,NA,NA,NA,NA
zelenodolsk,NA,NA,NA,NA,-4,37,-11,-42,NA,2,NA
krasnokamsk,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA
asbest,NA,NA,NA,NA,-13,39,-12,NA,NA,NA,NA
Ouzhgorod,NA,NA,NA,NA,-28,NA,-12,18,26,5,-4
tuapse,NA,NA,NA,NA,-35,NA,NA,NA,NA,NA,NA
sokol,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
Tokmak,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA
Krasnoarmiisk,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
koljchugino,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
birobidgan,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
tajga,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA
voskresensk,NA,NA,NA,NA,-1,NA,38,-32,NA,NA,NA
Karagandy,NA,NA,NA,NA,NA,263,2,-3,-7,-23,0
angarsk,NA,NA,NA,NA,NA,-40,2,-10,-12,-8,-14
noriljsk,NA,NA,NA,NA,NA,18,-11,14,-4,-22,-30
Asta0,NA,NA,NA,NA,NA,38,25,-5,2,53,28
Aktobe,NA,NA,NA,NA,NA,-114,17,-12,16,0,45
Pavlodar,NA,NA,NA,NA,NA,-79,56,13,4,-17,11
Klaipda,NA,NA,NA,NA,NA,-68,21,-11,-4,-12,-3
juzhsahalin,NA,NA,NA,NA,NA,7,-18,3,-12,14,5
korkino,NA,NA,NA,NA,NA,0,-96,NA,NA,NA,NA
severdvinsk,NA,NA,NA,NA,NA,86,43,2,8,-25,-12
Temirtau,NA,NA,NA,NA,NA,-21,67,-8,-21,-36,2
Snizhne,NA,NA,NA,NA,NA,-17,NA,NA,NA,NA,NA
0hodka,NA,NA,NA,NA,NA,-4,21,8,5,-6,-17
osinniki,NA,NA,NA,NA,NA,-13,NA,NA,NA,NA,NA
volzhskij,NA,NA,NA,NA,NA,-2,68,10,8,27,-1
Ridder,NA,NA,NA,NA,NA,-113,-57,NA,NA,NA,NA
Kyzylorda,NA,NA,NA,NA,NA,54,44,-3,-32,10,25
Shakhtarsk,NA,NA,NA,NA,NA,-45,-76,NA,NA,NA,NA
oktjabrskij,NA,NA,NA,NA,NA,69,-31,-33,3,18,-2
donskoj,NA,NA,NA,NA,NA,40,-63,NA,NA,NA,NA
pushkino,NA,NA,NA,NA,NA,62,-30,-24,NA,NA,-2
novokujbysh,NA,NA,NA,NA,NA,53,34,-41,-25,5,-12
krasnotursk,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA
Roustavi,NA,NA,NA,NA,NA,-2,24,5,11,-55,6
magadan,NA,NA,NA,NA,NA,8,12,10,8,NA,NA
schelkovo,NA,NA,NA,NA,NA,-32,-14,-12,-7,12,-4
kizel,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
salavat,NA,NA,NA,NA,NA,-2,60,-14,-12,16,-7
Krasnodon,NA,NA,NA,NA,NA,-54,-19,NA,NA,NA,NA
Bara0bitchi,NA,NA,NA,NA,NA,18,52,-1,11,8,-3
Rovenki,NA,NA,NA,NA,NA,-68,NA,NA,NA,NA,NA
Kohtla-J_rve,NA,NA,NA,NA,NA,-8,-15,NA,NA,NA,NA
vorkuta,NA,NA,NA,NA,NA,14,36,-37,12,NA,NA
Antetsit,NA,NA,NA,NA,NA,-12,NA,NA,NA,NA,NA
mezhdurechk,NA,NA,NA,NA,NA,-6,25,-31,-1,-6,-5
novotroick,NA,NA,NA,NA,NA,17,29,-26,-11,9,NA
Zyryanovsk,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA
uzlovaja,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA
Balkash,NA,NA,NA,NA,NA,-3,26,NA,NA,NA,NA
gukovo,NA,NA,NA,NA,NA,-27,-11,NA,NA,NA,NA
Kokshetau,NA,NA,NA,NA,NA,10,34,-4,35,-17,17
kotlas,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA
bratsk,NA,NA,NA,NA,NA,-4,178,1,-2,-11,-8
Sumqayit,NA,NA,NA,NA,NA,-159,126,17,1,24,9
Dimitrov,NA,NA,NA,NA,NA,-178,NA,NA,NA,NA,NA
chernogorsk,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA
almetjevsk,NA,NA,NA,NA,NA,-1,60,-4,9,16,6
Va0dzor,NA,NA,NA,NA,NA,NA,14,8,NA,-84,-7
Roudnyi,NA,NA,NA,NA,NA,NA,59,-20,-2,-31,4
Severodonetsk,NA,NA,NA,NA,NA,NA,38,1,1,-16,-16
usoljesibir,NA,NA,NA,NA,NA,NA,23,-20,-25,NA,NA
nevinnomysk,NA,NA,NA,NA,NA,NA,40,-13,5,27,-27
zhukovskij,NA,NA,NA,NA,NA,NA,-14,-19,-13,6,1
krasnogorsk,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,24
odincovo,NA,NA,NA,NA,NA,NA,-33,25,23,19,1
Shostka,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA
Bishkek,NA,NA,NA,NA,NA,NA,NA,261,-2,14,0
Doushanbe,NA,NA,NA,NA,NA,NA,NA,-17,1,9,3
0berchelny,NA,NA,NA,NA,NA,NA,NA,-54,30,3,-3
Bukhara,NA,NA,NA,NA,NA,NA,NA,-96,1,9,-5
Ferga0,NA,NA,NA,NA,NA,NA,NA,-11,-7,-15,-12
Turkme0bat,NA,NA,NA,NA,NA,NA,NA,-3,3,79,42
nizhnekamsk,NA,NA,NA,NA,NA,NA,NA,-130,29,27,1
Tchirtchik,NA,NA,NA,NA,NA,NA,NA,-60,0,-12,-12
Aktau,NA,NA,NA,NA,NA,NA,NA,-8,39,-11,15
Nukus,NA,NA,NA,NA,NA,NA,NA,-49,57,31,20
nvartovsk,NA,NA,NA,NA,NA,NA,NA,-109,104,3,7
Karshi,NA,NA,NA,NA,NA,NA,NA,-115,41,39,18
surgut,NA,NA,NA,NA,NA,NA,NA,-100,111,21,8
Angren,NA,NA,NA,NA,NA,NA,NA,-145,25,-3,-1
Almalyk,NA,NA,NA,NA,NA,NA,NA,-35,4,2,2
Ourgentch,NA,NA,NA,NA,NA,NA,NA,-12,33,16,3
volgodonsk,NA,NA,NA,NA,NA,NA,NA,-62,99,-8,1
Zhezkazgan,NA,NA,NA,NA,NA,NA,NA,-101,12,NA,NA
Taldykorgai,NA,NA,NA,NA,NA,NA,NA,-14,37,-47,61
uhta,NA,NA,NA,NA,NA,NA,NA,-53,23,-11,-19
zhelezngrsk,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
novocheboks,NA,NA,NA,NA,NA,NA,NA,-1,40,23,-1
0voi,NA,NA,NA,NA,NA,NA,NA,-66,21,63,21
Ekibastouz,NA,NA,NA,NA,NA,NA,NA,NA,-28,-15,6
Dashougouz,NA,NA,NA,NA,NA,NA,NA,NA,-34,98,52
neftekamsk,NA,NA,NA,NA,NA,NA,NA,NA,-151,37,-11
ustjilimsk,NA,NA,NA,NA,NA,NA,NA,NA,-31,-23,NA
seversk,NA,NA,NA,NA,NA,NA,NA,NA,4,25,-5
zheleznodor,NA,NA,NA,NA,NA,NA,NA,NA,-22,29,41
obninsk,NA,NA,NA,NA,NA,NA,NA,NA,-74,22,-3
Mary,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,41
0zranj,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73,NA
hasavjurt,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,19
Termez,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29,37
Balka0bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46,37
neftjugansk,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46,31
elista,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40,-5
kyzyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12
Bekabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,32
0vapoltsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34,NA
Saligorsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,1
Bayramaly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
Tchodzheyli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34
nojabrsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4
novyurengoj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15
kaspijsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
De0u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3
Turkmenbashi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
