,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Okhtirka,51,-25,-49,-33,NA,NA,NA,NA,NA,NA,NA
irkutsk,52,21,-17,16,2,-4,-1,-2,0,-5,-2
serpuhov,53,-11,-26,17,-25,-38,-31,-29,-21,-8,-6
torzhok,54,-65,-135,NA,-44,NA,NA,NA,NA,NA,NA
Soumi,55,-39,-12,6,-35,-12,21,-1,16,0,-8
tambov,56,20,-18,7,-24,-7,-10,-10,-6,-4,-8
syzranj,57,8,-34,-7,-22,16,-23,-35,-22,2,-5
Tartu,58,45,-82,14,-64,-54,-29,-26,-8,-30,8
ufa,59,-24,31,17,4,10,1,0,-1,2,1
Evpatoria,60,-202,92,-9,0,-81,6,-21,-3,3,0
kolom0,61,-12,-77,10,50,-32,-28,-35,-5,-17,-5
Bakhtchisarai,62,-31,-158,NA,NA,NA,NA,NA,NA,NA,NA
taganrog,63,18,-4,7,-1,-27,-3,-22,-15,-6,-12
Dniepropetrovsk,64,-16,65,4,5,-3,1,-2,-2,-4,-4
orenburg,65,-9,49,3,-27,-3,-5,3,6,3,-5
kostroma,66,-4,3,16,-21,-8,-13,-14,-11,0,-5
Oral,67,17,-22,NA,NA,-69,-11,-12,-2,-2,2
vladimir,68,-20,-13,-14,-14,39,9,-1,2,-14,6
tomsk,69,28,-5,9,-23,2,-2,0,6,-3,4
Brest,70,17,-6,-42,-101,2,26,18,27,-12,39
omsk,71,12,-10,42,4,4,2,3,1,2,-1
belgorod,72,-14,-24,-29,-105,41,68,21,9,17,6
Tchernigiv,73,NA,-31,-16,-6,-44,38,15,10,3,-9
Starokostuantiniv,74,-38,-71,NA,NA,NA,NA,NA,NA,NA,NA
Khotin,75,-4,-87,-127,NA,NA,NA,NA,NA,NA,NA
Liepja,76,-84,127,-41,-83,-47,-21,-20,-14,NA,NA
Vilopollya,77,-34,-97,-52,NA,NA,NA,NA,NA,NA,NA
kuzneck,78,-20,-47,1,-79,-39,17,-28,-26,NA,NA
kirov,79,16,-54,53,5,9,0,-7,0,-1,-3
Lebedin,80,-42,-104,-8,NA,NA,NA,NA,NA,NA,NA
arhangeljsk,81,14,-74,89,27,-30,-3,-8,-6,-8,-4
morshansk,82,-10,-20,-40,-87,NA,NA,NA,NA,NA,NA
permj,83,-54,76,18,23,5,0,-3,-1,-4,0
Kremenets,84,-68,-22,14,-107,NA,NA,NA,NA,NA,NA
