,city,2011,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1951,city.7,1940,city.8,1930,city.9,1921,city.10,1910,city.11,1900
Andria,46.0,100086.0,43.0,95653.0,58.0,82698.0,56.0,84199.0,60.0,77389.0,47.0,69503.0,54.0,66376.0,52.0,56258.0,55.0,53972.0,46.0,53661.0,38.0,53350.0,35.0,49629.0
Udine,47.0,99627.0,46.0,95030.0,46.0,98347.0,47.0,102066.0,39.0,98063.0,36.0,79072.0,44.0,72916.0,45.0,63135.0,34.0,66564.0,43.0,56062.0,45.0,47687.0,60.0,37929.0
Cesena,48.0,97056.0,52.0,90948.0,70.0,72278.0,70.0,72149.0,80.0,55076.0,58.0,62787.0,47.0,70499.0,49.0,61389.0,47.0,59751.0,47.0,52695.0,49.0,45640.0,50.0,42290.0
Lecce,49.0,95520.0,58.0,83303.0,40.0,102364.0,61.0,80199.0,53.0,82675.0,48.0,68414.0,58.0,63826.0,67.0,49345.0,70.0,46827.0,68.0,39310.0,70.0,36249.0,71.0,32761.0
La Spezia,50.0,95378.0,50.0,91391.0,42.0,101710.0,36.0,115477.0,25.0,128309.0,21.0,111827.0,23.0,112288.0,21.0,106138.0,19.0,108002.0,20.0,88076.0,21.0,73609.0,20.0,65611.0
Pesaro,51.0,95011.0,51.0,91086.0,61.0,78759.0,64.0,78660.0,67.0,69088.0,80.0,47263.0,70.0,54148.0,77.0,44679.0,77.0,42596.0,78.0,29956.0,-1.0,0.0,96.0,25105.0
Alessandria,52.0,94974.0,56.0,85438.0,67.0,74097.0,49.0,100576.0,48.0,89063.0,26.0,96101.0,33.0,82196.0,29.0,79330.0,25.0,82608.0,24.0,78310.0,20.0,75753.0,18.0,71314.0
Barletta,53.0,94459.0,48.0,92094.0,52.0,86211.0,58.0,82375.0,61.0,76712.0,49.0,67442.0,57.0,64370.0,59.0,52430.0,65.0,48371.0,57.0,46371.0,51.0,44372.0,52.0,42040.0
Catanzaro,54.0,93124.0,45.0,95251.0,37.0,103862.0,48.0,100871.0,51.0,82933.0,84.0,44240.0,64.0,60033.0,74.0,45436.0,78.0,41942.0,71.0,36112.0,74.0,34360.0,76.0,31896.0
Pistoia,55.0,90288.0,57.0,84274.0,68.0,73981.0,65.0,78163.0,66.0,71030.0,93.0,41183.0,35.0,77859.0,32.0,72211.0,32.0,70482.0,29.0,66547.0,26.0,67591.0,23.0,62612.0
Brindisi,56.0,89780.0,55.0,89081.0,48.0,91889.0,53.0,84905.0,52.0,82769.0,57.0,63553.0,65.0,58367.0,80.0,41769.0,81.0,39765.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pisa,57.0,88217.0,54.0,89694.0,44.0,101512.0,44.0,104519.0,35.0,103289.0,39.0,76801.0,36.0,77705.0,31.0,72544.0,30.0,73065.0,28.0,68990.0,29.0,65283.0,25.0,61311.0
Torre del Greco,58.0,87197.0,53.0,90607.0,43.0,101552.0,45.0,103692.0,50.0,83095.0,62.0,58427.0,56.0,64477.0,62.0,51410.0,66.0,47960.0,64.0,42314.0,69.0,36669.0,68.0,33312.0
Como,59.0,85263.0,64.0,78680.0,53.0,86066.0,51.0,94300.0,41.0,95674.0,56.0,64320.0,48.0,70461.0,58.0,53299.0,53.0,54113.0,55.0,48105.0,52.0,44130.0,56.0,38978.0
Lucca,60.0,84939.0,59.0,81862.0,51.0,86470.0,54.0,84844.0,63.0,74039.0,83.0,45433.0,30.0,88372.0,27.0,82374.0,27.0,81879.0,23.0,78671.0,19.0,76253.0,16.0,73029.0
Guidonia Montecelio,61.0,83736.0,81.0,67516.0,94.0,57586.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pozzuoli,62.0,83459.0,63.0,78754.0,78.0,67104.0,78.0,61901.0,85.0,54052.0,85.0,44027.0,-1.0,0.0,99.0,29769.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Treviso,63.0,82807.0,61.0,80144.0,56.0,83933.0,55.0,84347.0,45.0,90488.0,42.0,75284.0,60.0,63497.0,56.0,53916.0,54.0,54050.0,51.0,49783.0,60.0,41078.0,67.0,34022.0
Marsala,64.0,82774.0,65.0,77784.0,62.0,77204.0,66.0,76841.0,-1.0,0.0,-1.0,0.0,40.0,74937.0,48.0,62266.0,50.0,57274.0,34.0,61414.0,28.0,65555.0,29.0,57661.0
Grosseto,65.0,81928.0,72.0,71263.0,97.0,57096.0,91.0,55616.0,97.0,47002.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,91.0,18091.0,-1.0,0.0,-1.0,0.0
Busto Arsizio,66.0,81760.0,66.0,75916.0,63.0,77023.0,63.0,79374.0,59.0,77802.0,61.0,58587.0,73.0,52617.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Varese,67.0,81579.0,60.0,80511.0,54.0,85572.0,52.0,86779.0,55.0,82506.0,77.0,47988.0,72.0,53125.0,75.0,44815.0,76.0,42695.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sesto San Giovanni,68.0,81130.0,62.0,78850.0,55.0,85234.0,50.0,94726.0,47.0,89409.0,30.0,87321.0,91.0,44545.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Caserta,69.0,78693.0,67.0,75208.0,73.0,68900.0,86.0,59251.0,81.0,55003.0,73.0,49212.0,89.0,44621.0,64.0,49594.0,58.0,51416.0,72.0,35255.0,78.0,33291.0,72.0,32769.0
Gela,70.0,77360.0,69.0,72774.0,60.0,79788.0,69.0,74110.0,70.0,66669.0,65.0,54513.0,94.0,43746.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Asti,71.0,76534.0,71.0,71276.0,81.0,62883.0,72.0,65519.0,77.0,61043.0,52.0,65370.0,75.0,52034.0,68.0,48986.0,64.0,49179.0,59.0,44469.0,66.0,39759.0,59.0,38034.0
Cinisello Balsamo,72.0,75150.0,70.0,72050.0,64.0,75699.0,60.0,80389.0,62.0,74311.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ragusa,73.0,73743.0,77.0,68956.0,71.0,69467.0,81.0,60952.0,86.0,54061.0,71.0,50714.0,79.0,49552.0,65.0,49530.0,62.0,49798.0,62.0,43656.0,68.0,37509.0,75.0,31990.0
Laquila,74.0,72511.0,78.0,68503.0,-1.0,0.0,-1.0,0.0,98.0,47095.0,-1.0,0.0,69.0,54631.0,55.0,54743.0,57.0,52686.0,88.0,24262.0,-1.0,0.0,-1.0,0.0
Cremona,75.0,72147.0,74.0,70887.0,65.0,75212.0,68.0,74390.0,56.0,82038.0,54.0,64860.0,51.0,68700.0,42.0,64092.0,38.0,64096.0,38.0,59108.0,62.0,40474.0,61.0,37776.0
Quartu SantElena,76.0,71779.0,80.0,68040.0,84.0,60997.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Lamezia Terme,77.0,71286.0,75.0,70501.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pavia,78.0,71142.0,73.0,71214.0,59.0,80142.0,57.0,82624.0,49.0,86266.0,46.0,69613.0,59.0,63797.0,61.0,51756.0,60.0,50368.0,65.0,42084.0,65.0,39956.0,63.0,35494.0
Fiumicino,79.0,70985.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Massa,80.0,70973.0,83.0,66769.0,77.0,67822.0,82.0,60821.0,75.0,63401.0,81.0,47003.0,78.0,50494.0,79.0,41873.0,80.0,39872.0,74.0,34278.0,90.0,30899.0,90.0,26479.0
Trapani,81.0,70622.0,79.0,68346.0,87.0,59762.0,77.0,61963.0,72.0,66052.0,50.0,66885.0,41.0,73317.0,44.0,63581.0,46.0,60069.0,27.0,71289.0,32.0,59683.0,27.0,59576.0
Aprilia,82.0,70349.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cosenza,83.0,70068.0,68.0,72998.0,36.0,104560.0,41.0,106830.0,40.0,97673.0,45.0,70273.0,66.0,57099.0,82.0,40009.0,91.0,36114.0,77.0,30089.0,-1.0,0.0,-1.0,0.0
Altamura,84.0,70023.0,86.0,64167.0,96.0,57541.0,-1.0,0.0,-1.0,0.0,91.0,41543.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Imola,85.0,69116.0,85.0,64348.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,86.0,45440.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,73.0,35082.0,69.0,33285.0
Carpi,86.0,69021.0,90.0,61476.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Potenza,87.0,68297.0,76.0,69060.0,90.0,58873.0,92.0,55243.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,90.0,18517.0,-1.0,0.0,-1.0,0.0
Carrara,88.0,65573.0,84.0,65034.0,75.0,68508.0,79.0,61772.0,68.0,68199.0,-1.0,0.0,62.0,62351.0,51.0,59040.0,48.0,58521.0,45.0,53984.0,43.0,49448.0,51.0,42129.0
Castellammare di Stabia,89.0,64506.0,82.0,66929.0,74.0,68770.0,71.0,70505.0,65.0,71391.0,75.0,49154.0,67.0,56363.0,72.0,46526.0,73.0,43774.0,69.0,38918.0,76.0,34062.0,70.0,32845.0
Viareggio,90.0,64503.0,92.0,61103.0,-1.0,0.0,-1.0,0.0,79.0,55871.0,94.0,41088.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Afragola,91.0,63981.0,88.0,62319.0,86.0,59998.0,88.0,57699.0,90.0,52256.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Vigevano,92.0,63797.0,99.0,57450.0,83.0,61424.0,76.0,62991.0,69.0,67732.0,70.0,51658.0,93.0,43894.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Viterbo,93.0,63597.0,96.0,59308.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,92.0,44192.0,91.0,36150.0,87.0,37111.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Vittoria,94.0,63332.0,-1.0,0.0,98.0,57086.0,-1.0,0.0,96.0,47221.0,90.0,42110.0,96.0,43271.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,86.0,31383.0,73.0,32277.0
Savona,95.0,62553.0,95.0,59907.0,72.0,69064.0,73.0,65053.0,57.0,79294.0,55.0,64522.0,52.0,67871.0,41.0,64210.0,45.0,60667.0,44.0,55450.0,42.0,50234.0,57.0,38488.0
