,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,,,
Saint-Jean-sur-Richelieu,89,41,0,-7,-6,4,8,-16,-4,-7,9,21,41,12,3.416666667
Sudbury,90,31,-1,22,15,-7,13,-2,-7,-4,-2,9,31,12,2.583333333
Welland,91,NA,NA,NA,24,-25,44,-21,-13,-17,NA,44,44,8,5.5
Drummondville,92,NA,NA,NA,16,26,5,-26,-4,-3,13,25,26,9,2.888888889
Saint-Vital,93,NA,NA,NA,NA,NA,33,-35,NA,NA,NA,NA,-35,3,-11.66666667
Oakville,94,NA,NA,NA,NA,NA,NA,36,4,11,8,NA,36,5,7.2
Lachute,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Preston,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Sainte-Therese,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Saint-Laurent,98,NA,NA,NA,NA,61,NA,-17,-7,-8,5,NA,61,6,10.16666667
Grand Falls,99,NA,23,2,NA,NA,NA,NA,NA,NA,NA,NA,23,3,7.666666667
Verdun,NA,58,4,1,-1,-4,-10,-17,-25,-15,-4,NA,58,10,5.8
Medicine Hat,NA,60,-29,-3,-3,-5,-5,NA,-6,-13,6,38,60,10,6
Westmount,NA,19,-2,4,-6,-24,-18,NA,NA,NA,NA,NA,-24,6,-4
Saint Boniface,NA,44,-13,0,4,-7,7,-28,NA,NA,NA,NA,44,7,6.285714286
Moose Jaw,NA,36,NA,-5,0,-9,-7,NA,NA,NA,NA,-29,36,6,6
Amherst,NA,40,-13,-10,-27,NA,NA,NA,NA,NA,NA,NA,40,4,10
Nelson,NA,44,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,22
Prince Albert,NA,19,-12,7,0,-14,2,NA,NA,NA,NA,4,19,7,2.714285714
Wetaskiwin,NA,9,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28,2,-14
Kamloops,NA,27,-13,3,-30,NA,4,23,13,-4,7,18,-30,10,-3
Prince Rupert,NA,-22,-11,3,NA,NA,NA,NA,NA,NA,NA,NA,-22,3,-7.333333333
Red Deer,NA,3,-20,NA,NA,NA,10,NA,-7,-6,7,38,38,7,5.428571429
Kalowna,NA,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23,1,-23
Whitehorse,NA,-1,-21,6,NA,NA,NA,NA,NA,NA,NA,NA,-21,3,-7
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,#DIV/0!
Kitchener,NA,NA,55,5,-1,0,9,-4,2,1,2,2,55,10,5.5
Sault Sainte Marie,NA,NA,-18,-2,-4,-3,4,-3,-11,-5,-17,23,23,10,2.3
Saint Catharines,NA,NA,17,3,-2,-6,13,9,-1,-2,NA,NA,17,8,2.125
Outremont,NA,NA,-28,18,-2,-22,NA,NA,NA,NA,NA,NA,-28,4,-7
North Bay,NA,NA,-3,7,-9,-16,18,-12,-10,-8,-8,40,40,10,4
Shawinigan,NA,NA,-3,6,5,-6,18,-28,-9,-16,-13,36,36,10,3.6
North Battleford,NA,NA,-13,4,NA,NA,NA,NA,NA,NA,NA,NA,-13,2,-6.5
Swift Current,NA,NA,-5,3,NA,NA,NA,NA,NA,NA,NA,NA,-5,2,-2.5
Bonavista,NA,NA,-5,0,NA,NA,NA,NA,NA,NA,NA,NA,-5,2,-2.5
Harbour Grace,NA,NA,-2,-1,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,-1
Carbonear,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
Burin,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,1,-5
