,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Algeciras,43.0,117695.0,44.0,101468.0,45.0,101256.0,47.0,85390.0,42.0,80083.0,42.0,72018.0,49.0,52712.0,98.0,20227.0,75.0,19630.0,92.0,19034.0,-1.0,0.0,-1.0,0.0
Jaen,44.0,116469.0,40.0,112590.0,42.0,103260.0,43.0,95783.0,44.0,77396.0,40.0,74160.0,34.0,61625.0,32.0,54666.0,40.0,39849.0,38.0,33483.0,40.0,29293.0,44.0,25665.0
Ourense,45.0,107314.0,42.0,107510.0,43.0,102758.0,44.0,94346.0,47.0,73168.0,44.0,65790.0,41.0,55616.0,54.0,38641.0,72.0,21667.0,96.0,18056.0,88.0,16024.0,-1.0,0.0
Reus,46.0,106849.0,48.0,89006.0,47.0,87670.0,49.0,79245.0,55.0,59935.0,78.0,32028.0,67.0,36062.0,66.0,33316.0,54.0,31273.0,49.0,30367.0,50.0,25205.0,43.0,26236.0
Telde,47.0,101080.0,51.0,87949.0,54.0,77356.0,60.0,62509.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Barakaldo,48.0,100064.0,46.0,94478.0,41.0,105088.0,35.0,114462.0,32.0,109299.0,32.0,98280.0,58.0,42287.0,60.0,36241.0,53.0,31577.0,58.0,26913.0,-1.0,0.0,-1.0,0.0
Lugo,49.0,98001.0,49.0,88414.0,50.0,83242.0,50.0,72574.0,50.0,63616.0,47.0,57240.0,45.0,53708.0,50.0,42860.0,55.0,31182.0,52.0,28349.0,27.0,35796.0,36.0,28002.0
San Fernando,50.0,96786.0,50.0,88073.0,48.0,85410.0,51.0,72103.0,58.0,57279.0,53.0,51480.0,62.0,41260.0,53.0,38651.0,60.0,29212.0,57.0,27080.0,48.0,25643.0,33.0,29859.0
Girona,51.0,96113.0,60.0,74879.0,58.0,68656.0,59.0,63308.0,66.0,47746.0,63.0,42930.0,87.0,28957.0,77.0,28812.0,71.0,21839.0,94.0,19029.0,85.0,17364.0,99.0,15700.0
Caceres,52.0,95616.0,53.0,82716.0,55.0,74589.0,55.0,65758.0,60.0,55354.0,55.0,49770.0,53.0,45473.0,52.0,39286.0,66.0,25902.0,74.0,23633.0,86.0,16966.0,-1.0,0.0
Santiago de Compostela,53.0,95397.0,47.0,90188.0,46.0,87807.0,48.0,82404.0,49.0,65387.0,43.0,69930.0,42.0,55639.0,37.0,49220.0,44.0,38380.0,62.0,25985.0,52.0,24762.0,47.0,24223.0
Lorca,54.0,91849.0,56.0,77477.0,61.0,65919.0,61.0,61879.0,54.0,60389.0,45.0,65720.0,32.0,71052.0,82.0,24557.0,24.0,60317.0,13.0,74739.0,10.0,73069.0,11.0,69978.0
Torrevieja,55.0,90097.0,90.0,50953.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
El Puerto de Santa Maria,56.0,89012.0,57.0,76236.0,62.0,65517.0,66.0,55748.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Talavera de la Reina,57.0,87676.0,58.0,75369.0,57.0,68764.0,57.0,64840.0,73.0,39918.0,71.0,35910.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Roquetas de Mar,58.0,86799.0,93.0,50096.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Guadalajara,59.0,84404.0,63.0,68248.0,65.0,63649.0,74.0,52313.0,83.0,31687.0,-1.0,0.0,-1.0,0.0,92.0,21542.0,78.0,16100.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Toledo,60.0,83872.0,62.0,68382.0,68.0,59802.0,69.0,54335.0,69.0,44241.0,66.0,39780.0,64.0,40231.0,64.0,34649.0,62.0,27462.0,64.0,25344.0,73.0,22346.0,52.0,23475.0
Ceuta,61.0,83517.0,61.0,71505.0,59.0,67615.0,56.0,65264.0,51.0,62645.0,48.0,56340.0,35.0,59995.0,29.0,59144.0,26.0,50616.0,70.0,24289.0,60.0,24000.0,-1.0,0.0
