cityName,city,1904,city.1,1914,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
d40,88,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d41,89,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d42,90,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d43,91,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d44,92,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d45,93,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d46,94,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d47,95,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d48,96,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d49,97,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d50,98,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d51,99,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d52,100,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d53,101,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Toyohashi,-1,0,25,54742,23,65216,17,138863,24,142759,40,145942,33,215527,40,258530,42,304345,41,338034,37,364951,51,376665
Morioka,-1,0,35,43562,46,42424,42,62290,49,79578,52,117636,55,157470,64,196083,65,229134,69,235468,59,288829,73,298348
Hamamatsu,-1,0,37,43044,24,64736,22,109518,21,166310,22,215789,16,333054,15,432281,17,490811,17,534618,17,582192,16,800866
Ise,-1,0,40,40428,49,39335,58,39335,78,52684,101,69536,96,99086,-1,0,-1,0,-1,0,-1,0,-1,0
Matsumoto,-1,0,42,39793,36,50063,38,72130,55,72808,42,140188,61,148751,75,162980,79,192175,79,200766,78,209064,93,243037
Nagaoka,-1,0,43,39463,47,41626,48,57959,60,67035,68,94856,62,148340,76,162357,82,180321,87,185949,86,193418,77,282674
