,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Sasebo,87,261101,69,240897,66,244765,58,251238,44,247913,23,262524,25,203550,14,206059,19,133259,17,87191,14,94922,16,68330
Hiratsuka,88,260780,65,254687,65,246060,74,214372,73,163764,81,108342,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Fuchū,89,255506,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yamagata,90,254244,64,255454,64,249596,63,237069,59,204144,41,188602,36,150470,58,69249,40,66141,39,48458,32,45414,28,40202
Fuji,91,254027,41,354450,40,339655,40,314025,35,269547,75,124023,85,81546,-1,0,-1,0,-1,0,-1,0,-1,0
Sōka,92,243855,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Matsumoto,93,243037,78,209064,79,200766,79,192175,75,162980,61,148751,42,140188,55,72808,38,72130,36,50063,42,39793,-1,0
Kure,94,239973,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Neyagawa,95,238204,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hachinohe,96,237615,68,241962,67,241147,62,238297,57,208817,45,174301,58,104395,54,73539,53,52979,-1,0,-1,0,-1,0
Saga,97,237506,99,168029,93,170046,93,163852,86,143554,70,129966,53,115788,84,50450,57,42007,61,33565,52,36721,40,35111
Kasukabe,98,237171,81,203419,86,188874,95,155672,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chigasaki,99,235081,74,220839,78,201712,87,171001,94,129607,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yamato,100,228186,77,212862,83,194924,89,167949,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Takarazuka,101,225700,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hachioji,-1,0,20,536007,21,466320,29,387265,43,253508,53,158451,80,82541,53,75208,60,39001,51,39001,-1,0,-1,0
Oita,-1,0,29,436539,33,408531,33,360527,39,260656,72,124863,68,94599,51,77080,49,57398,44,43119,46,39000,-1,0
Koriyama,-1,0,44,334839,47,314689,49,286593,45,241743,87,102693,95,70948,73,57485,-1,0,-1,0,-1,0,-1,0
Kochi,-1,0,47,330764,45,317179,43,300829,47,240516,39,196371,30,161637,32,106651,35,77007,37,49340,45,39210,37,35594
Numazu,-1,0,51,318181,46,317156,45,298363,37,267101,36,205672,34,156536,45,86292,-1,0,-1,0,-1,0,-1,0
Fuch˚,-1,0,72,226876,74,209459,78,192272,74,163288,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Soka,-1,0,73,225071,75,206188,80,186614,99,123327,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Atsugi,-1,0,75,217453,82,197341,100,145414,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ageo,-1,0,76,212958,84,194918,90,166281,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chofu,-1,0,79,204857,81,197733,81,180516,79,157562,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tokuyama,-1,0,80,204254,72,211527,72,215337,66,193824,52,159504,43,137997,-1,0,-1,0,-1,0,-1,0,-1,0
Odawara,-1,0,82,200206,85,193443,83,177548,80,156775,73,124851,86,79500,80,51859,-1,0,-1,0,-1,0,-1,0
Kofu,-1,0,83,196252,80,200651,77,199381,70,182792,50,161058,49,121641,34,102453,34,79456,32,56222,27,53789,24,44227
Omuta,-1,0,84,195590,73,210096,66,224537,50,230686,22,270251,15,256245,27,124301,25,97346,25,64305,-1,0,-1,0
Hitachi,-1,0,85,193470,77,202139,76,204695,67,193241,49,161250,-1,0,48,82939,-1,0,-1,0,-1,0,-1,0
Kushiro,-1,0,87,191738,76,205667,73,214728,69,191959,59,150671,69,93444,67,63204,59,39282,50,39282,-1,0,-1,0
Suzuka,-1,0,88,186260,91,174164,94,156368,100,121285,-1,0,90,77037,-1,0,-1,0,-1,0,-1,0,-1,0
Kodaira,-1,0,89,178636,98,164079,96,154682,89,137452,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hirosaki,-1,0,90,177138,-1,0,84,175329,78,157626,58,152152,-1,0,81,51577,64,32875,62,32875,48,38646,33,36415
Ube,-1,0,91,174452,89,175156,88,169024,84,152902,47,166676,39,146964,35,100747,44,61299,-1,0,-1,0,-1,0
Obihiro,-1,0,92,173095,95,167475,97,153998,93,131668,90,100992,-1,0,101,36694,-1,0,-1,0,-1,0,-1,0
Takaoka,-1,0,93,172253,88,175590,85,175158,77,159705,68,135239,48,123916,69,59497,63,36694,58,36694,50,38088,-1,0
Tomakomai,-1,0,94,172133,99,160190,98,152051,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mitaka,-1,0,95,171621,97,165644,92,164518,83,155746,100,98021,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sakura,-1,0,96,170926,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yachiyo,-1,0,97,168837,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hadano,-1,0,98,168151,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hino,-1,0,100,167924,96,165965,99,145452,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kamakura,-1,0,101,167667,90,174354,86,172603,88,139278,97,98627,75,85492,-1,0,-1,0,-1,0,-1,0,-1,0
Muroran,-1,0,-1,0,92,173534,75,206774,58,208624,63,145749,56,110421,31,107656,51,55999,33,56104,-1,0,-1,0
Ashikaga,-1,0,-1,0,94,167708,91,165813,81,156042,79,111022,72,89855,91,48324,-1,0,-1,0,-1,0,-1,0
Sayama,-1,0,-1,0,100,157308,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ogaki,-1,0,-1,0,-1,0,-1,0,91,134945,88,102540,84,82191,75,56186,65,28301,63,28301,-1,0,-1,0
Kiry˚,-1,0,-1,0,-1,0,-1,0,92,133193,76,123092,54,115284,46,86191,-1,0,-1,0,-1,0,-1,0
Nobeoka,-1,0,-1,0,-1,0,-1,0,95,128361,77,122586,74,88111,50,79478,-1,0,-1,0,-1,0,-1,0
Niihama,-1,0,-1,0,-1,0,-1,0,96,126095,71,125711,94,73727,-1,0,-1,0,-1,0,-1,0,-1,0
Beppu,-1,0,-1,0,-1,0,-1,0,98,123850,83,107735,70,93008,65,64743,-1,0,-1,0,-1,0,-1,0
Kumagaya,-1,0,-1,0,-1,0,-1,0,101,120888,99,98201,98,69793,87,48961,-1,0,-1,0,-1,0,-1,0
Fuse,-1,0,-1,0,-1,0,-1,0,-1,0,34,212894,37,150167,25,134755,-1,0,-1,0,-1,0,-1,0
Joetsu,-1,0,-1,0,-1,0,-1,0,-1,0,78,116600,83,82198,-1,0,-1,0,-1,0,56,32472,44,32472
Ybari,-1,0,-1,0,-1,0,-1,0,-1,0,82,108070,61,99536,64,65004,-1,0,-1,0,-1,0,-1,0
Matsue,-1,0,-1,0,-1,0,-1,0,-1,0,85,106545,79,83283,77,55573,62,37504,54,37504,47,38689,39,35191
Tottori,-1,0,-1,0,-1,0,-1,0,-1,0,86,104846,66,95850,86,49317,-1,0,-1,0,51,37303,-1,0
Yatsushiro,-1,0,-1,0,-1,0,-1,0,-1,0,91,100647,99,69677,-1,0,-1,0,-1,0,-1,0,-1,0
Iwakuni,-1,0,-1,0,-1,0,-1,0,-1,0,92,100322,-1,0,82,51001,-1,0,-1,0,-1,0,-1,0
Imabari,-1,0,-1,0,-1,0,-1,0,-1,0,93,100135,-1,0,76,55604,-1,0,-1,0,-1,0,-1,0
Maizuru,-1,0,-1,0,-1,0,-1,0,-1,0,94,99699,71,91933,85,49872,-1,0,-1,0,-1,0,-1,0
Aizuwakamatsu,-1,0,-1,0,-1,0,-1,0,-1,0,95,99597,-1,0,92,48153,-1,0,-1,0,-1,0,-1,0
Ise,-1,0,-1,0,-1,0,-1,0,-1,0,96,99086,100,69536,78,52684,58,39335,49,39335,40,40428,-1,0
Matsusaka,-1,0,-1,0,-1,0,-1,0,-1,0,98,98452,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sakata,-1,0,-1,0,-1,0,-1,0,-1,0,101,97709,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tagawa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,73,88478,57,70227,-1,0,-1,0,-1,0,-1,0
Yonago,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,83655,93,47200,-1,0,-1,0,-1,0,-1,0
Hofu,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,83650,70,58982,-1,0,-1,0,-1,0,-1,0
Choshi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,82437,68,61228,-1,0,-1,0,-1,0,-1,0
Imari,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,82326,-1,0,-1,0,-1,0,-1,0,-1,0
Tsuyama,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,78673,-1,0,-1,0,-1,0,-1,0,-1,0
Yamaguchi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,77877,100,38230,-1,0,-1,0,-1,0,-1,0
Onomichi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,75470,89,48842,-1,0,-1,0,57,30049,45,30049
Miyakonojo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,75133,71,58898,-1,0,-1,0,-1,0,-1,0
Kanuma,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,70505,-1,0,-1,0,-1,0,-1,0,-1,0
Himi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,70123,-1,0,-1,0,-1,0,-1,0,-1,0
Tochigi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,101,68807,-1,0,-1,0,-1,0,-1,0,-1,0
Uwajima,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,79,52176,-1,0,-1,0,-1,0,-1,0
Yonezawa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,48848,-1,0,45,43055,49,38317,-1,0
Nogata,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,47016,-1,0,-1,0,-1,0,-1,0
Kanoya,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,46804,-1,0,-1,0,-1,0,-1,0
Iizuka,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,46783,-1,0,-1,0,-1,0,-1,0
Seto,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,45887,-1,0,-1,0,-1,0,-1,0
Kamaishi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,42246,-1,0,-1,0,-1,0,-1,0
Kiry,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,52,53000,-1,0,-1,0,-1,0
a1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,66,1,-1,0,-1,0,-1,0
a2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,67,1,-1,0,-1,0,-1,0
a3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68,1,-1,0,-1,0,-1,0
a4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,69,1,-1,0,-1,0,-1,0
a5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,70,1,-1,0,-1,0,-1,0
a6,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71,1,-1,0,-1,0,-1,0
a7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,72,1,-1,0,-1,0,-1,0
a8,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,73,1,-1,0,-1,0,-1,0
a9,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,1,-1,0,-1,0,-1,0
a10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,75,1,-1,0,-1,0,-1,0
a11,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,76,1,-1,0,-1,0,-1,0
a12,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,1,-1,0,-1,0,-1,0
a13,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,1,-1,0,-1,0,-1,0
a14,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,79,1,-1,0,-1,0,-1,0
a15,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,1,-1,0,-1,0,-1,0
a16,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,1,-1,0,-1,0,-1,0
a17,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,1,-1,0,-1,0,-1,0
a18,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,1,-1,0,-1,0,-1,0
