cityName,city,1900,city.1,1910,city.2,1921,city.3,1930,city.4,1940,city.5,1951,city.6,1961,city.7,1971,city.8,1981,city.9,1991,city.10,2001,city.11,2011
Caserta,72,32769,78,33291,75,35255,58,51416,85,40557,89,44621,64,55855,74,65449,86,59251,73,68900,67,75208,69,78693
Vittoria,73,32277,86,31383,-1,0,-1,0,100,31957,96,43271,-1,0,92,52256,-1,0,98,57086,-1,0,94,63332
Siracusa,74,32006,61,40874,52,49666,61,50191,47,62681,45,71010,57,63553,43,92047,35,117647,27,125402,30,123657,31,123850
Ragusa,75,31990,68,37509,64,43656,62,49798,90,38491,79,49552,65,54513,72,66661,81,60952,71,69467,77,68956,73,73743
Catanzaro,76,31896,74,34360,74,36112,78,41942,53,59040,64,60033,74,49402,86,54075,48,100871,37,103862,45,95251,54,93124
Trani,77,31839,88,31048,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Casale Monferrato,78,31895,75,34199,-1,0,-1,0,-1,0,-1,0,-1,0,91,52546,-1,0,-1,0,-1,0,-1,0
Vercelli,79,31290,84,31968,-1,0,82,39589,81,42677,99,42257,85,44027,67,71030,-1,0,-1,0,-1,0,-1,0
Bisceglie,80,30967,77,33972,-1,0,-1,0,-1,0,-1,0,-1,0,97,49006,-1,0,-1,0,-1,0,-1,0
Terni,81,30647,79,32981,56,47877,40,62774,32,72211,32,84461,36,79072,53,82675,38,111601,47,93485,38,105018,40,113324
Bitonto,82,30648,80,32882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chioggia,83,30653,72,35189,-1,0,83,38969,-1,0,80,49575,78,47903,-1,0,-1,0,-1,0,-1,0,-1,0
San Severo,84,30060,82,32231,-1,0,-1,0,95,36150,81,48758,-1,0,80,56796,95,53923,-1,0,-1,0,-1,0
Cortona,85,29337,95,29337,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mantova,86,29144,81,32736,73,36706,75,42948,74,46685,71,53885,81,47003,65,72340,97,52573,-1,0,-1,0,-1,0
Ascoli Piceno,87,28972,91,30675,78,32127,88,37037,-1,0,88,44760,87,43386,-1,0,-1,0,-1,0,-1,0,-1,0
Siena,88,28499,58,41740,61,43972,67,47735,86,40053,74,52692,69,51785,75,64046,93,55060,93,57798,-1,0,-1,0
Cuneo,89,27198,96,29220,79,31243,90,36295,-1,0,-1,0,92,41552,78,62621,-1,0,-1,0,-1,0,-1,0
Massa,90,26479,90,30899,77,34278,80,39872,78,44815,78,50494,79,47591,83,55003,82,60821,77,67822,83,66769,80,70973
Chieti,91,26499,-1,0,83,29206,93,34121,103,29769,-1,0,98,40103,-1,0,-1,0,95,57581,-1,0,-1,0
Adrano,92,25986,93,30140,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cascina,93,25965,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Enna,94,25851,100,28396,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Gorizia,95,25450,89,31029,87,25697,63,49300,-1,0,-1,0,71,50714,-1,0,-1,0,-1,0,-1,0,-1,0
Pesaro,96,25105,101,27530,81,29956,77,42596,69,49345,70,54148,77,47988,82,55076,64,78660,61,78759,51,91086,51,95011
Torre Annunziata,97,25111,87,31346,54,48533,36,65720,79,44705,76,52098,30,87321,60,77389,83,60558,-1,0,-1,0,-1,0
Agrigento,98,25064,-1,0,82,29805,98,30099,-1,0,-1,0,95,40566,84,54997,99,51325,99,55283,-1,0,-1,0
Trento,99,24918,94,30066,76,35150,52,56831,45,63581,61,62389,53,65248,73,66052,59,80512,57,83134,39,104946,38,116298
,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Piazza Armerina,-1,0,83,32127,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Canicatti,-1,0,92,30248,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Paterno,-1,0,97,28936,-1,0,-1,0,-1,0,-1,0,-1,0,100,47064,-1,0,-1,0,-1,0,-1,0
Monte San Giuliano,-1,0,98,28795,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Foligno,-1,0,99,28449,-1,0,-1,0,-1,0,90,44699,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cosenza,-1,0,-1,0,80,30089,91,36114,41,64243,66,57099,82,46990,45,90488,41,106830,36,104560,68,72998,83,70068
Benevento,-1,0,-1,0,84,27593,89,36920,99,33058,83,47624,88,42912,94,52100,-1,0,-1,0,89,61791,-1,0
Belluno,-1,0,-1,0,85,26641,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Teramo,-1,0,-1,0,86,25898,96,30720,-1,0,-1,0,94,41088,-1,0,-1,0,-1,0,-1,0,-1,0
Avellino,-1,0,-1,0,88,25673,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bolzano,-1,0,-1,0,89,25468,79,40806,33,71946,46,70966,73,49212,30,110439,43,105243,45,100457,47,94989,42,104029
Macerata,-1,0,-1,0,90,24470,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Laquila,-1,0,-1,0,91,24262,57,52686,102,30303,69,54631,55,64522,-1,0,-1,0,-1,0,78,68503,74,72511
Imperia,-1,0,-1,0,92,20318,99,28770,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Potenza,-1,0,-1,0,93,18517,-1,0,-1,0,-1,0,-1,0,-1,0,92,55243,90,58873,76,69060,87,68297
Grosseto,-1,0,-1,0,94,18091,-1,0,101,31801,-1,0,-1,0,-1,0,91,55616,97,57096,72,71263,65,81928
Campobasso,-1,0,-1,0,95,16371,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rovigo,-1,0,-1,0,96,14710,86,37471,-1,0,84,45918,83,45433,-1,0,-1,0,-1,0,-1,0,-1,0
Sondrio,-1,0,-1,0,97,9617,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
a4,-1,0,-1,0,98,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
a3,-1,0,-1,0,99,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Varese,-1,0,-1,0,-1,0,76,42695,57,54743,72,53125,75,49154,79,61043,52,86779,54,85572,60,80511,67,81579
Brindisi,-1,0,-1,0,-1,0,81,39765,54,56258,65,58367,80,47263,57,79294,53,84905,48,91889,55,89081,56,89780
Viterbo,-1,0,-1,0,-1,0,87,37111,-1,0,92,44192,91,41543,-1,0,-1,0,-1,0,96,59308,93,63597
Civitavecchia,-1,0,-1,0,-1,0,92,34467,-1,0,-1,0,96,40403,-1,0,-1,0,-1,0,-1,0,-1,0
Rieti,-1,0,-1,0,-1,0,94,32221,-1,0,-1,0,93,41183,-1,0,-1,0,-1,0,-1,0,-1,0
San Remo,-1,0,-1,0,-1,0,95,31650,97,34860,-1,0,97,40207,99,47095,84,59931,88,59214,-1,0,-1,0
Merano,-1,0,-1,0,-1,0,97,30323,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Pescara,-1,0,-1,0,-1,0,-1,0,27,82374,55,65558,60,59473,33,106067,29,131302,26,128607,33,116286,32,123077
Sesto San Giovanni,-1,0,-1,0,-1,0,-1,0,48,62344,91,44545,-1,0,31,110433,50,94726,55,85234,62,78850,68,81130
Busto Arsizio,-1,0,-1,0,-1,0,-1,0,61,52430,73,52617,-1,0,61,76712,63,79374,63,77023,66,75916,66,81760
Cinisello Balsamo,-1,0,-1,0,-1,0,-1,0,64,51410,-1,0,-1,0,-1,0,60,80389,64,75699,70,72050,72,75150
Portici,-1,0,-1,0,-1,0,-1,0,66,49594,-1,0,-1,0,-1,0,62,79377,76,67828,93,60218,-1,0
Vigevano,-1,0,-1,0,-1,0,-1,0,71,48739,93,43894,-1,0,71,66669,76,62991,83,61424,99,57450,92,63797
Gela,-1,0,-1,0,-1,0,-1,0,73,47253,94,43746,-1,0,66,71391,69,74110,60,79788,69,72774,70,77360
Viareggio,-1,0,-1,0,-1,0,-1,0,82,41873,-1,0,-1,0,96,50554,-1,0,-1,0,92,61103,90,64503
Biella,-1,0,-1,0,-1,0,-1,0,87,40009,97,42848,-1,0,69,68199,96,52620,-1,0,-1,0,-1,0
Latina,-1,0,-1,0,-1,0,-1,0,88,39393,-1,0,-1,0,-1,0,75,64531,69,72704,36,107898,34,119804
Pozzuoli,-1,0,-1,0,-1,0,-1,0,89,39062,-1,0,99,39946,88,54052,78,61901,78,67104,63,78754,62,83459
Moncalieri,-1,0,-1,0,-1,0,-1,0,91,38132,-1,0,-1,0,-1,0,85,59369,91,58438,-1,0,-1,0
Ercolano,-1,0,-1,0,-1,0,-1,0,92,37992,-1,0,-1,0,-1,0,89,57581,85,60911,-1,0,-1,0
Lecco,-1,0,-1,0,-1,0,-1,0,93,37977,98,42597,-1,0,81,55871,-1,0,-1,0,-1,0,-1,0
Afragola,-1,0,-1,0,-1,0,-1,0,94,36972,-1,0,-1,0,-1,0,88,57699,86,59998,88,62319,91,63981
Aversa,-1,0,-1,0,-1,0,-1,0,98,33818,-1,0,-1,0,101,47002,90,55852,-1,0,-1,0,-1,0
Carbonia,-1,0,-1,0,-1,0,-1,0,-1,0,87,45174,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mestre,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,19,174630,18,198088,18,181972,-1,0,-1,0
Altamura,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,52123,-1,0,96,57541,86,64167,84,70023
San Giorgio a Cremano,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,61703,82,62298,-1,0,-1,0
Scandicci,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,54078,-1,0,-1,0,-1,0
Cologno Monzese,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,52359,-1,0,-1,0,-1,0
Quartu SantElena,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,60997,80,68040,76,71779
Giuliano in Campania,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,59105,42,97999,37,117963
Manfredonia,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,58209,98,57704,-1,0
Guidonia Montecelio,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,57586,81,67516,61,83736
Lamezia Terme,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,75,70501,77,71286
Carpi,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,61476,86,69021
Crotone,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,60010,96,61798
Matera,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,57785,99,59796
