,city,1900,city.1,1911,city.2,1921,city.3,1931,city.4,1940,city.5,1950,city.6,1961,city.7,1971,city.8,1981,city.9,1991,city.10,2001,city.11,2010
Sefton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,16,294571,14,307561,14,302015,14,289520,20,286950,19,289739
North Tyneside,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,22,210569,27,207981,25,197423,37,192397,40,192075,36,193619
Calderdale,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,25,201275,29,195299,28,190365,38,191637,39,192478,37,192844
South Tyneside,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,28,184848,35,177159,39,160146,55,154789,59,152889,58,156078
Knowsley,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,36,151448,30,194189,33,173079,57,152147,60,150460,61,154053
Sutton Coldfield,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,72287,81,83624,63,102691,-1,0,-1,0,-1,0
Chester,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,59393,-1,0,88,80221,96,84254,97,81650,94,86011
Basildon,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,47,129980,65,94852,50,161166,53,165955,51,163280
Havant,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,54,108831,-1,0,73,119774,75,116823,74,120760
Aldridge-Brownhills,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,88272,-1,0,-1,0,-1,0,-1,0
Harlow,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,77964,93,79223,-1,0,-1,0,98,82059
Woking and Byfleet,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,76359,67,92785,-1,0,84,96480,85,99248
Bedford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,72931,99,75698,-1,0,96,82660,92,87590
Peterborough,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,113475,53,159941,56,156098,55,158674
Chelmsford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,72,91165,56,152494,57,156099,56,156601
Maidstone,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,86132,85,95056,86,93660,78,113140
Hemel Hempstead,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,80198,91,87379,-1,0,-1,0
Crawley,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,80178,-1,0,-1,0,-1,0
Scunthorpe,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,79043,-1,0,-1,0,-1,0
Saint Albans,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,76744,-1,0,-1,0,-1,0
Milton Keynes,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,33,204500,34,206994,35,197131
Renfrew,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,34,201240,37,202158,-1,0
Wycombe,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,49,162042,54,162103,50,164045
New Forest,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,52,160546,51,169549,48,169513
Macclesfield,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,151681,61,150089,62,152604
Fareham and Portchester,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,99317,78,107990,-1,0
Winchester,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,96463,80,107272,76,116636
Basingstoke,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,81228,85,93968,82,107347
Nuneaton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,83070,93,86552
Stevenage,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,80970,-1,0
