cityName,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2001,city.11,2011,netDistance
Prince Albert,-1,0,57,6346,64,7901,57,9978,55,14533,71,20201,68,26121,-1,0,-1,0,-1,0,-1,0,71,45024,-72
Wetaskiwin,-1,0,62,4539,85,2104,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Kamloops,-1,0,63,4501,70,6167,68,6201,96,8099,-1,0,92,18748,71,43818,58,71910,62,79928,55,89329,38,102072,-39
Prince Rupert,-1,0,65,4238,69,6427,67,6441,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Red Deer,-1,0,72,2441,84,2346,-1,0,-1,0,-1,0,72,25237,-1,0,81,46402,87,58149,80,67707,44,89715,-45
Kalowna,-1,0,86,1661,-1,0,92,1661,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Whitehorse,-1,0,87,755,87,353,94,755,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d12,-1,0,88,12,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d11,-1,0,89,11,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d10,-1,0,90,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d9,-1,0,91,9,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d8,-1,0,92,8,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d7,-1,0,93,7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d6,-1,0,94,6,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d5,-1,0,95,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d4,-1,0,96,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
d3,-1,0,97,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Kitchener,-1,0,-1,0,24,21887,19,30830,20,35756,21,59242,12,154923,16,224420,14,287871,13,378687,11,439937,9,517328,-10
Sault Sainte Marie,-1,0,-1,0,26,21077,28,23108,33,25810,38,37129,31,58578,35,95329,46,87093,52,101829,69,74566,48,82212,-49
Saint Catharines,-1,0,-1,0,27,19931,24,24801,27,30305,35,39454,20,95623,11,303453,12,304463,14,364610,-1,0,-1,0,0
Outremont,-1,0,-1,0,41,13271,23,28633,25,30869,50,28369,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
North Bay,-1,0,-1,0,50,10717,43,15552,53,15603,69,20437,52,33516,64,49188,74,57182,82,63363,91,59262,52,74078,-53
Shawinigan,-1,0,-1,0,51,10661,45,15355,41,20380,49,28543,28,63527,57,61548,67,62710,83,61754,97,52040,65,54669,-66
North Battleford,-1,0,-1,0,73,4817,69,6084,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Swift Current,-1,0,-1,0,74,4204,71,5351,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Bonavista,-1,0,-1,0,76,4131,76,4038,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Harbour Grace,-1,0,-1,0,78,3837,79,2270,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Carbonear,-1,0,-1,0,79,3337,77,3444,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Burin,-1,0,-1,0,82,2784,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Kelowna,-1,0,-1,0,83,2520,74,4793,-1,0,-1,0,-1,0,40,80200,40,100251,38,125314,30,155950,21,186126,-22
c12,-1,0,-1,0,88,12,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c11,-1,0,-1,0,89,11,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c10,-1,0,-1,0,90,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c9,-1,0,-1,0,91,9,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c8,-1,0,-1,0,92,8,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c7,-1,0,-1,0,93,7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c6,-1,0,-1,0,94,6,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c5,-1,0,-1,0,95,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c4,-1,0,-1,0,96,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c3,-1,0,-1,0,97,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
c2,-1,0,-1,0,98,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Trail,-1,0,-1,0,-1,0,64,7640,82,9469,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Yorkton,-1,0,-1,0,-1,0,73,5071,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Prince George,-1,0,-1,0,-1,0,78,2536,-1,0,-1,0,-1,0,65,49138,61,67698,75,69789,74,72406,45,86846,-46
Abbotsford,-1,0,-1,0,-1,0,95,510,-1,0,-1,0,-1,0,-1,0,86,42007,53,100045,31,155316,22,176538,-23
b4,-1,0,-1,0,-1,0,96,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
b3,-1,0,-1,0,-1,0,97,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
b2,-1,0,-1,0,-1,0,98,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Timmins,-1,0,-1,0,-1,0,-1,0,30,28833,51,27611,45,40125,75,41514,82,46148,99,47460,-1,0,73,44315,-74
