CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,GCPNT_LATfe,GCPNT_LONfe,SovietEpoch,GCPNT_LATfe,GCPNT_LONfe
,,,Halifax,44.8543667,-63.137798,,,,El Puerto de Santa Maria,36.601468,-6.2381494,,,,Ferrara,44.8372737,11.6186451,,,,Cordoba,18.92397125,-96.92781089,,,,Luton,51.89107295,-0.423030408,,,,Matsuyama,33.8395188,132.7653521,,,,Cincinnati,39.1014537,-84.5124602,,,,Bourg-en-Bresse,46.2051192,5.2250324,,,,Gorlivka,48.3,38.05
,,,Hamilton,43.2425289,-79.9470423,,,,Elche,38.2653181,-0.6988488,,,,Foggia,41.4623447,15.5430624,,,,Cuernavaca,18.9218274,-99.2342282,,,,Middlesbrough,54.5461946,-1.235830489,,,,Muroran,42.3152461,140.9740731,,,,Cleveland,41.5051613,-81.6934446,,,,Bourges,47.0805693,2.398932,,,,Grod0,58.88333333,40.25
,,,Hull,45.4371637,-75.7241942,,,,Estrada,42.6972533,-8.4403579,,,,Forli,44.2227182,12.0412435,,,,Culiacan,24.7978965,-107.393395,,,,Newcastle-upon-Tyne,54.9738474,-1.6131572,,,,Nagano,36.1143945,138.0319015,,,,Colorado Springs,38.8339578,-104.8253485,,,,Bourgoin-Jallieu,45.5872259,5.2828123,,,,Irkutsk,52.28333333,104.3
,,,Joliette,46.0528409,-73.4617483,,,,Ferrol,43.4846862,-8.233162,,,,Gela,37.0664363,14.2502445,,,,Delicias,28.1227078,-105.4684895,,,,North Tyneside,55.02979945,-1.508256,,,,Niigata,37.6452283,138.7669125,,,,Columbus,39.9622601,-83.0007065,,,,Brest,48.3905283,-4.4860088,,,,Ismail,45.35,28.83
,,,Kamloops,50.6758269,-120.3394159,,,,Gijon,43.5450394,-5.6626443,,,,Giuliano in Campania,41.23334305,14.00139025,,,,Durango,24.833333,-104.833333,,,,Norwich,52.628606,1.29227,,,,Okayama,34.8581334,133.7759256,,,,Corpus Christi,27.8002542,-97.3955744,,,,Brive-la-Gaillarde,45.1584982,1.5332389,,,,Izhevsk,56.85,53.21666667
,,,Kelowna,49.889326,-119.498291,,,,Girona,41.9793006,2.8199439,,,,Imola,44.3535145,11.7141233,,,,El Oro de Hidalgo,19.8004734,-100.1299496,,,,Nottingham,52.9534193,-1.1496461,,,,Omuta,33.0299874,130.4433467,,,,Dallas,32.7762719,-96.7968559,,,,Caen,49.1828008,-0.3690815,,,,Kaliningrad,54.71666667,20.5
,,,Kingston,44.3054151,-76.4283781,,,,Granada,37.183054,-3.6021928,,,,La Spezia,44.107033,9.8282255,,,,Ensenada,30.1927661,-115.2314626,,,,Oldbury and Smethwick,52.5012103,-1.9796525,,,,Sagamihara,35.56559,139.236215,,,,Dayton,39.7589478,-84.1916069,,,,Calais,50.9488,1.87468,,,,Kaluga,54.51666667,36.26666667
,,,Kitchener,43.453168,-80.494423,,,,Huelva,37.2575874,-6.9484945,,,,Laquila,42.3489203,13.3979672,,,,Fresnillo,23.2249237,-103.0162891,,,,Plymouth,50.3712659,-4.1425658,,,,Sakai,34.529124,135.50156,,,,Denver,39.7392364,-104.9848623,,,,Chalons-en-Champagne,48.9566218,4.3628851,,,,Karagandy,49.8,73.1
,,,Lachine,45.4486969,-73.7110536,,,,Iruna,42.8184538,-1.6442556,,,,Latina,41.4672589,12.9035737,,,,Guanajuato,20.9876996,-101,,,,Poole,50.74018055,-1.953773835,,,,Sasebo,33.1799965,129.7152872,,,,Des Moines,41.5910641,-93.6037149,,,,Chalon-sur-Saone,46.7888997,4.8529605,,,,Kau0s,39.9,66.26
,,,Laval,45.60558895,-73.73441731,,,,Jaen,37.7728858,-3.7883289,,,,Lecce,40.3570373,18.1718482,,,,Hermosillo,29.0948207,-110.9692202,,,,Portsmouth,50.8036831,-1.075614,,,,Shizuoka,34.9332488,138.0955398,,,,El Paso,31.7600372,-106.487287,,,,Chambery,45.5662672,5.9203636,,,,Kazan,55.78333333,49.11666667
,,,Lethbridge,49.694285,-112.851562,,,,Jerez de la Frontera,36.6816936,-6.1377402,,,,Livorno,43.5507411,10.3091456,,,,Heroica Matamoros,31.3267701,-110.9513566,,,,Preston,53.7593363,-2.6992717,,,,Takamatsu,34.3425592,134.0465338,,,,Elizabeth,40.6639916,-74.2107006,,,,Charleville-Mezieres,49.7735712,4.7206939,,,,Kerch,45.36,36.47
,,,Levis,46.7910096,-71.1753274,,,,La Linea de la Concepcion,36.1677899,-5.3482396,,,,Lucca,43.8428381,10.502876,,,,Heroica Nogales,31.3078109,-110.9424823,,,,Rhondda,50.19383355,-5.42349135,,,,Tokushima,33.9196418,134.2509634,,,,Erie,42.1294712,-80.0852695,,,,Chartres,48.4438601,1.4881434,,,,Khabarovsk,48.48333333,135.0666667
,,,London,42.9537654,-81.2291529,,,,La Union,37.6215215,-0.8800506,,,,Mantova,45.1566683,10.7917191,,,,Heroica Zamora,30.6393333,-112.2678333,,,,Rotherham,53.4310417,-1.355187,,,,Toyama,36.6957569,137.2136215,,,,Evansville,37.9747645,-87.5558483,,,,Cherbourg-Octeville,49.6343606,-1.628568691,,,,Kharkiv,50,36.25
,,,Longueuil,45.5172382,-73.4467466,,,,Langreo,43.2955423,-5.6839733,,,,Marsala,37.7979221,12.4342091,,,,Heroica Zitacuaro,19.4344012,-100.355314,,,,Sandwell,52.5151278,-2.013562374,,,,Toyohashi,34.769123,137.391461,,,,Flint,43.0171773,-83.7236024,,,,Clermont-Ferrand,45.7774551,3.0819427,,,,Kherson,46.63,32.6
,,,Mississauga,43.590338,-79.645729,,,,Leon,42.5989995,-5.5682413,,,,Messina,38.1937571,15.5542082,,,,Hidalgo del Parral,27.11538475,-105.764288,,,,Sefton,53.5034122,-2.9714708,,,,Tsu,34.7341973,136.5153283,,,,Fort Wayne,41.0799898,-85.1386015,,,,Cluses,46.0603171,6.5804218,,,,Kiiv,50.43,30.52
,,,Moncton,46.097995,-64.80011,,,,Linares,38.0928249,-3.6343581,,,,Modena,44.6458885,10.9255707,,,,Huamantla,19.32333185,-97.91456649,,,,South Shields,54.9987414,-1.4321848,,,,Utsunomiya,36.5549677,139.8828776,,,,Fort Worth,32.753177,-97.3327459,,,,Colmar,48.0777517,7.3579641,,,,Kirov,58.6,49.65
,,,Moose Jaw,50.401515,-105.542908,,,,Linea de la Concepcion,36.1677899,-5.3482396,,,,Modica,36.8589209,14.7613018,,,,Iguala de la Independencia,18.1923169,-99.60236695,,,,Southampton,50.9137978,-1.399040483,,,,Wakayama,33.8070292,135.5930743,,,,Fresno,36.7295295,-119.7088613,,,,Compiegne,49.4179497,2.8263171,,,,Kokand,40.53,70.94
,,,Nanaimo,49.1637594,-123.9379719,,,,Lleida,41.6147605,0.6267842,,,,Monza,45.5834418,9.2735257,,,,Irapuato,20.6748936,-101.3885423,,,,Southend-on-Sea,51.54063195,0.716114673,,,,Yokkaichi,34.9648428,136.624845,,,,Gary,41.6021292,-87.3371372,,,,Creil,49.2607914,2.4733771,,,,Kolom0,37.59,68.66
,,,New Glasgow,45.5869474,-62.6483547,,,,Logrono,42.4661196,-2.4396676,,,,Novara,45.4464036,8.619655,,,,Jalapa,17.77080775,-92.80215156,,,,Stoke-on-Trent,53.0162014,-2.1812607,,,,,,,,,,Grand Rapids,42.9632405,-85.6678639,,,,Dijon,47.3215806,5.0414701,,,,Kramatorsk,48.72,37.53
,,,New Westminster,49.205728,-122.9108651,,,,Lorca,37.6715679,-1.6988053,,,,Padova,45.4077172,11.8734455,,,,Jiquilpan de Jimenez,19.9674259,-102.7518555,,,,Sunderland,54.9063791,-1.375053,,,,,,,,,,Greensboro,36.0726355,-79.7919754,,,,Douai - Lens,50.3861442,2.9800138,,,,Krasnodar,45.03333333,38.98333333
,,,Niagara Falls,43.100983,-79.115295,,,,Luarca,43.5439443,-6.5358435,,,,Parma,44.8013678,10.3280833,,,,La Paz,19.36376855,-98.9463136,,,,Swansea,51.6195955,-3.9459248,,,,,,,,,,Honolulu,21.304547,-157.8556764,,,,Draguignan,43.5374662,6.4627333,,,,Krasnoyarsk,56,92.93333333
,,,North York,43.7708175,-79.4132998,,,,Lugo,43.0462247,-7.4739921,,,,Pavia,45.1860043,9.1546375,,,,La Piedad - Penjamo,20.3691855,-101.9974856,,,,Wakefield,53.6829541,-1.4967286,,,,,,,,,,Indianapolis,39.7683331,-86.1583502,,,,Dunkerque,51.0347708,2.3772525,,,,Krivii Rig,47.92,33.35
