cityName,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Ceuta,61,83517,61,71505,59,67615,56,65264,51,62645,48,56340,35,59995,28,59144,26,50616,70,24289,60,24000,-1,0
Aviles,62,82938,52,83185,49,85351,45,87996,40,82483,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Pontevedra,63,82346,59,74942,56,71491,58,64184,63,52609,57,47916,57,43223,57,37021,56,30828,59,26955,56,24290,58,22866
Melilla,64,81323,64,66411,72,56615,71,53593,53,60892,50,54720,24,81280,17,77281,31,43154,61,26090,98,9027,-1,0
Palencia,65,81089,54,79797,53,77863,52,71716,59,56801,54,51120,59,41819,64,34378,68,23940,90,19770,84,17685,-1,0
El Ejido,66,80839,75,57877,95,41374,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chiclana de la Frontera,67,80769,70,61028,87,46862,93,36492,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Getxo,68,80252,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Orihuela,69,79889,82,54390,83,49475,80,44776,68,44811,60,44847,54,45099,47,43669,43,38700,32,37598,28,35222,35,28390
Gandia,70,77595,72,59850,80,51806,77,48558,85,30752,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Velez-Malaga,71,76922,77,57142,81,50999,84,41937,74,38532,73,35128,75,31618,75,29636,61,27654,68,24906,55,24390,50,23585
Manresa,72,76311,66,63981,60,66320,53,67007,57,58176,52,52290,63,40518,58,36438,52,32200,54,27328,74,22200,53,23465
Ciudad Real,73,75071,67,63251,71,57030,76,50151,71,41014,69,36967,72,34205,67,32937,69,23414,89,20031,-1,0,-1,0
