Iwaki	360102	Machida	349126	Hakodate	320280	Ichikawa	261139	Aomori	202210	Chiba	150053	Kawaguchi	97148	Matsumoto	72130	Yamagata	48458	Takamatsu	41825	Takasaki	35259
Nagano	360190	Nagano	347025	Takamatsu	316752	Ôita	260656	Kôchi	196371	Ube	146964	Akita	96172	Fukui	66620	Tsu	47737	Nagano	41144	Matsue	35191
Asahikawa	359525	Fuji	339655	Fuji	314025	Toyohashi	258530	Yokkaichi	196016	Toyohashi	145942	Chiba	92199	Yamagata	66141	Takamatsu	46618	Ise	40428	Saga	35111
Fuji	354450	Toyohashi	338034	Toyama	305197	Fukuyama	255107	Yamagata	188602	Nagano	143580	Kurume	89585	Okazaki	65507	Himeji	45799	Himeji	40382	Aomori	34909
Toyota	351130	Toyota	332351	Toyohashi	304345	Matsudo	253627	Asahikawa	188374	Matsumoto	140188	Utsunomiya	87965	Morioka	62290	Kurume	43669	Matsumoto	39793	Akita	34402
Okazaki	336694	Takamatsu	329792	Kôchi	300829	Hachiôji	253508	Tokushima	182853	Tokuyama	137997	Asahikawa	87519	Himeji	62259	Ôita	43119	Nagaoka	39463	Kurume	33359
Kôriyama	334839	Toyama	321365	Fujisawa	300267	Sasebo	247913	Maebashi	181993	Tokushima	133372	Maebashi	87075	Ube	61299	Yonezawa	43055	Kurume	39251		
Takamatsu	332996	Kôchi	317179	Numazu	298363	Kôriyama	241743	Hachinohe	174301	Asahikawa	126124	Numazu	86292	Naha	60555	Morioka	42424	Kôchi	39210		
Kawagoe	330845	Numazu	317156	Naha	295874	Hakodate	241710	Kawaguchi	170165	Miyazaki	125685	Kiryû	86191	Takasaki	59991	Nagaoka	41626	Ôita	39000		
Kôchi	330764	Kôriyama	314689	Machida	295496	Kôchi	240516	Ube	166676	Takamatsu	124677	Okazaki	84155	Miyazaki	58901	Mito	39465	Matsue	38689		
Tokorozawa	330196	Hakodate	307248	Aomori	287685	Aomori	240120	Okazaki	166133	Takaoka	123916	Hitachi	82939	Nagaoka	57959	Ise	39335	Hirosaki	38646		
Kashiwa	327915	Okazaki	306851	Kôriyama	286593	Akita	235970	Hitachi	161250	Kôfu	121641	Morioka	79578	Ôita	57398	Kushiro	39282	Yonezawa	38317		
Toyama	325791	Kashiwa	305137	Akita	284949	Ômuta	230686	Kôfu	161058	Kurume	121592	Nobeoka	79478	Tsu	56117	Hachiôji	39001	Takaoka	38088		
Numazu	318181	Kawagoe	304921	Toyota	281646	Yokkaichi	229290	Nagano	160567	Kawaguchi	118972	Ôita	77080	Muroran	55999	Okazaki	38537	Tottori	37303		
Akita	317666	Naha	304837	Maebashi	265240	Fujisawa	229069	Tokuyama	159504	Morioka	117636	Nagano	76980	Kiryû	53000	Akita	38371	Saga	36721		
Koshigaya	308361	Tokorozawa	303091	Miyazaki	264986	Fukushima	227511	Hachiôji	158451	Saga	115788	Hachiôji	75208	Hachinohe	52979	Matsue	37504	Akita	36660		
Miyazaki	305870	Akita	302497	Fukushima	262819	Maebashi	223634	Miyazaki	158396	Kiryû	115284	Hachinohe	73539	Yokkaichi	51832	Nagano	37356	Fukushima	34083		
Naha	301053	Aomori	287847	Okazaki	262482	Tokushima	223502	Morioka	157470	Aomori	114559	Matsumoto	72808			Kawasaki	37014	Yokkaichi	33844		
Aomori	297974	Miyazaki	287487	Kawagoe	259327	Okazaki	210555	Ichikawa	157356	Muroran	110421	Takasaki	71045			Takasaki	36886	Jôetsu	32472		
Fukushima	291101	Maebashi	286370	Yokkaichi	255436	Hachinohe	208817	Kurume	155039	Fukui	108461	Tagawa	70227			Takaoka	36694	Onomichi	30049		
