,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Trenton,61,4213,-1,0,-1,0,-1,0,94,8331,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Aylmer,62,4185,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Oshawa,63,4173,44,8049,47,11925,28,23401,29,28848,27,50186,25,80968,27,120395,24,154292,21,250167,18,315099,13,372378
Portage la Prairie,64,3932,54,5904,68,6517,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Lachine,65,3869,-1,0,35,15487,37,18618,42,20147,40,34383,46,38625,68,44491,94,37511,-1,0,-1,0,-1,0
New Glasgow,66,3833,50,6460,58,9013,-1,0,85,9248,-1,0,84,22017,-1,0,-1,0,-1,0,-1,0,-1,0
Orillia,67,3709,-1,0,-1,0,-1,0,80,9894,-1,0,96,18271,-1,0,-1,0,-1,0,-1,0,82,30546
Lauzon,68,3691,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Dundas,69,3625,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Joliette,70,3444,-1,0,-1,0,-1,0,64,12749,84,16917,83,22294,-1,0,-1,0,-1,0,-1,0,70,42850
Newcastle,71,3053,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,49598,-1,0,-1,0
Cote-Saint-Luc,72,3040,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Saint-Jerome,73,2981,60,3130,79,3328,69,5532,72,11386,66,20668,61,29119,86,35374,84,43569,92,51764,88,59614,50,69598
Richmond Hill,74,2956,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,32411,92,37874,60,80191,37,132030,-1,0
Summerside,75,2927,62,2772,80,3256,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Whitby,76,2879,-1,0,74,4170,71,5346,-1,0,-1,0,-1,0,-1,0,98,36736,84,61329,56,87413,-1,0
Wallaceburg,77,2809,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Simcoe,78,2702,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Regina,79,2652,14,30213,17,34475,13,53218,13,58236,15,88881,15,126722,21,139028,22,164394,25,191720,25,178225,20,192079
Renfrew,80,2607,63,2607,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Glace Bay,81,2531,25,16605,32,17076,34,20721,34,25154,58,24136,77,24258,72,43584,-1,0,-1,0,-1,0,-1,0
Sydney Mines,82,2526,64,2526,61,8381,-1,0,95,8282,-1,0,-1,0,90,34097,-1,0,-1,0,-1,0,-1,0
Saguenay,83,2364,55,5880,59,8937,53,11921,51,15975,63,23111,14,133294,22,131924,21,185426,28,160947,29,160973,25,161163
Newmarket,84,2192,66,2192,-1,0,79,2192,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,65788,-1,0
Magog,85,2131,67,2131,-1,0,80,2131,87,9051,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
