city,c1900,city,c1910,city,c1920,city,c1930,city,c1940,city,c1950,city,c1960,city,c1970,city,c1980,city,c1990,city,2000,city,2010
Des Moines,62130,Hartford,98960,Youngstown,132491,New Haven,162784,Miami,172208,Jacksonville,204579,Tulsa,261725,Rochester,296237,Louisville,298749,Toledo,332977,Saint Louis,348296,New Orleans,343829
Springfield,62106,San Antonio,96654,Springfield,129640,Flint,156582,Youngstown,167745,Worcester,203549,Wichita,254788,Tampa,277805,Birmingham,284443,Buffalo,328123,Wichita,344349,Arlington,365438
Evansville,59072,Salt Lake City,92877,Des Moines,126508,Nashville-Davidson,153993,Nashville-Davidson,167461,Tulsa,182752,Long Beach,250819,Wichita,276615,Wichita,279884,Wichita,304013,Santa Ana,338078,Cleveland,396815
Manchester,57057,Dallas,92145,Nashville-Davidson,118311,Springfield,150000,Hartford,166309,Salt Lake City,182147,Richmond,220084,Akron,275422,Sacramento,275706,Santa Ana,293757,Pittsburgh,334647,Honolulu,390738
Peoria,56105,Springfield,88987,Salt Lake City,118125,San Diego,148035,Grand Rapids,164388,Des Moines,178088,Syracuse,216018,Tucson,262947,Tampa,271695,Mesa,288146,Arlington,333002,Bakersfield,347483
Savannah,54295,Wilmington,87441,Norfolk,115835,Bridgeport,146771,New Haven,160654,Hartford,177416,Tucson,212974,Jersey City,260523,Saint Paul,270255,Colorado Springs,281111,Cincinnati,331314,Tampa,335709
Salt Lake City,53537,Des Moines,86446,Albany,113302,Des Moines,142603,Des Moines,159819,Grand Rapids,176564,Des Moines,208988,Sacramento,254403,Norfolk,267055,Tampa,280053,Anaheim,328018,Aurora,325078
San Antonio,53391,Tacoma,83757,Lowell,112829,Tulsa,141358,Flint,151597,Nashville-Davidson,174353,Providence,207534,Austin,251864,Virginia Beach,262240,Newark,275257,Toledo,313649,Anaheim,336265
Erie,52778,Kansas City,82314,Wilmington,110279,Salt Lake City,140327,Salt Lake City,149929,Wichita,168354,San Jose,204229,Richmond,249615,Rochester,241759,Saint Paul,272281,Tampa,303412,Santa Ana,324528
Elizabeth,52177,Yonkers,79860,Cambridge,109742,Paterson,138507,Springfield,149601,Youngstown,168330,Charlotte,201625,Albuquerque,243871,Saint Petersburg,238671,Louisville,269127,Buffalo,292614,Corpus Christi,305215
Kansas City,51411,Youngstown,79137,Fort Worth,106592,Honolulu,137617,Bridgeport,147138,New Haven,164441,Albuquerque,201249,Dayton,243671,Akron,237483,Anaheim,266472,Saint Paul,287283,Riverside,303871
Yonkers,47927,Houston,78858,Spokane,104451,Yonkers,134622,Norfolk,144359,Long Beach,164353,Jacksonville,201040,Charlotte,241241,Corpus Christi,232200,Birmingham,266006,Corpus Christi,277528,Saint Louis,319294
Norfolk,46647,Elizabeth,73401,Kansas City,101273,Norfolk,129748,Yonkers,142638,Arlington,163485,Flint,196944,Saint Petersburg,216260,Jersey City,223587,Arlington,261718,Aurora,276485,Lexington-Fayette,295803
Fort Wayne,45186,Fort Worth,73335,Yonkers,100213,Jacksonville,129527,Tulsa,142285,Flint,163193,Mobile,194981,Corpus Christi,204570,Baton Rouge,220444,Norfolk,261237,Raleigh,276102,Stockton,291707
Youngstown,44970,Manchester,70128,Tacoma,97099,Albany,127439,Long Beach,142021,Springfield,162421,Sacramento,191729,Yonkers,204314,Anaheim,219589,Las Vegas,258306,Newark,273530,Pittsburgh,305704
Houston,44626,Evansville,69676,Elizabeth,95813,Kansas City,121923,Paterson,139708,Spokane,161702,Yonkers,190669,Des Moines,200677,Richmond,219247,Corpus Christi,257539,Lexington-Fayette,260527,Saint Paul,285068
Akron,42777,Akron,69149,Erie,93409,Chattanooga,119894,Albany,130691,Bridgeport,158721,Salt Lake City,189526,Grand Rapids,197674,Fresno,217506,Saint Petersburg,238631,Anchorage,260363,Anchorage,291826
Dallas,42644,Norfolk,67554,Flint,91643,Erie,116081,Chattanooga,128299,Yonkers,152826,Worcester,186668,Syracuse,197248,Colorado Springs,215157,Rochester,231620,Louisville,256249,Cincinnati,296943
Lincoln,40256,Peoria,67004,Jacksonville,91649,Spokane,115547,Spokane,122072,Tacoma,143779,Austin,186504,Flint,193337,Shreveport,207056,Jersey City,228581,Riverside,255266,Henderson,257729
Augusta-Richmond ,39454,Erie,66574,Oklahoma City,91336,Elizabeth,114967,Kansas City,121596,Paterson,139342,Spokane,181675,Mobile,190085,Lexington-Fayette,204244,Riverside,226505,Saint Petersburg,248296,Greensboro,269666
Honolulu,39395,Savannah,65162,Fort Wayne,86575,Fort Wayne,114968,Fort Wayne,118454,Sacramento,137668,Saint Petersburg,181331,Shreveport,182129,Santa Ana,204019,Anchorage,226362,Bakersfield,247145,Plano,259841
Mobile,38579,Oklahoma City,64223,Evansville,85373,Cambridge,113643,Erie,117017,Albany,135002,Gary,178312,Warren,179303,Jackson,202983,Lexington-Fayette,225416,Stockton,243854,Newark,277140
Birmingham,38481,Fort Wayne,63974,Honolulu,83398,Wichita,111109,Wichita,115052,Charlotte,134058,Grand Rapids,177393,Providence,179243,Mobile,200590,Akron,223057,Birmingham,242870,Toledo,287208
Little Rock,38386,Jacksonville,57705,Savannah,83307,Miami,110655,Wilmington,112530,Gary,133977,Springfield,174533,Fort Wayne,177756,Yonkers,195413,Aurora,222137,Jersey City,240170,Lincoln,258379
Tacoma,37768,South Bend,53727,Manchester,78462,Tacoma,106891,Gary,111709,Fort Wayne,133660,Arlington,174344,Worcester,176656,Dayton,193584,Baton Rouge,219524,Norfolk,234441,Orlando,238303
Spokane,36806,Wichita,52502,Knoxville,77837,Wilmington,106603,Knoxville,111683,Austin,132512,Nashville-Davidson,170932,Salt Lake City,175936,Des Moines,191013,Stockton,210915,Baton Rouge,227828,Chula Vista,243916
South Bend,36040,Honolulu,52240,El Paso,77614,Knoxville,105848,Cambridge,110978,Chattanooga,131057,Corpus Christi,167750,Gary,175478,Grand Rapids,181820,Raleigh,208003,Hialeah,226496,Jersey City,247597
Allentown,35485,Allentown,51957,Peoria,76112,Peoria,105095,Elizabeth,109914,Erie,130808,Youngstown,166702,Knoxville,174684,Montgomery,177905,Richmond,203198,Lincoln,225679,Chandler,236123
Springfield,34298,Springfield,51707,San Diego,74418,South Bend,104215,Tacoma,109480,El Paso,130538,Shreveport,164479,Arlington,174387,Knoxville,175093,Shreveport,198521,Greensboro,223936,Fort Wayne,253691
Topeka,33639,Mobile,51572,Allentown,73581,El Paso,102413,Tampa,108486,Kansas City,129607,Hartford,162260,Madison,173358,Anchorage,174453,Jackson,196653,Plano,222023,Buffalo,261310
Knoxville,32611,Little Rock,45971,Waterbury,73197,Evansville,102270,Sacramento,106017,Mobile,129040,Fort Wayne,161888,Virginia Beach,172172,Lubbock,174446,Mobile,196305,Rochester,219822,Durham,228330
Davenport,32382,Waterbury,45961,Wichita,72240,Tampa,101247,Peoria,105117,Evansville,128650,Bridgeport,156739,Spokane,170548,Fort Wayne,172484,Des Moines,193217,Glendale,218884,St. Petersburg,244769
Rockford,31150,Rockford,45480,Tulsa,72145,Gary,100494,Lowell,101402,Shreveport,127294,Baton Rouge,152478,Kansas City,168260,Lincoln,171924,Lincoln,192008,Akron,217160,Irvine,212375
Montgomery,30357,Sacramento,44788,South Bend,71091,Lowell,100289,South Bend,101362,Baton Rouge,125688,New Haven,152072,Anaheim,166719,Spokane,171377,Madison,191337,Garland,215896,Laredo,236091
Chattanooga,30271,Chattanooga,44671,Sacramento,65947,Sacramento,93890,Charlotte,100992,Knoxville,124878,Savannah,149300,Baton Rouge,166063,Madison,170639,Grand Rapids,189159,Madison,208157,Lubbock,229573
Joliet,29449,Lincoln,44086,Rockford,65793,Allentown,92654,Waterbury,99937,Tampa,124734,Tacoma,148080,Fresno,166045,Riverside,170691,Yonkers,188178,Fort Wayne,205766,Madison,233209
Sacramento,29319,Topeka,43781,Little Rock,65121,Waterbury,91772,Shreveport,98295,Cambridge,120788,Jackson,144478,Springfield,163939,Huntington Beach,170502,Hialeah,188044,Fremont,203494,Gilbert,208453
Waterbury,28699,Davenport,43088,Mobile,60899,Rockford,85941,Evansville,97108,Savannah,119692,Paterson,143740,Hartford,158092,Columbus,170154,Montgomery,187101,Scottsdale,202780,Norfolk,242803
Jacksonville,28409,Pueblo,41734,Springfield,59224,Savannah,85050,Allentown,96938,South Bend,115966,Evansville,141508,Santa Ana,156630,Syracuse,170191,Lubbock,186234,Montgomery,201697,Reno,225221
Pueblo,28249,Augusta-Richmond ,41012,Chattanooga,57907,Charlotte,82731,El Paso,96899,Berkeley,113824,Erie,138429,Bridgeport,156531,Chattanooga,169523,Greensboro,183577,Shreveport,200157,Winston-Salem,229617
Fort Worth,26755,Macon,40703,Lansing,57310,Berkeley,82179,Savannah,96099,Elizabeth,112802,Amarillo,138046,Tacoma,154682,Las Vegas,164800,Dayton,182069,Augusta-Richmond ,199804,Glendale,226721
Lexington-Fayette,26440,Berkeley,40480,Davenport,56715,Little Rock,81778,Little Rock,88056,Peoria,111971,Montgomery,134404,Columbus,154207,Salt Lake City,163005,Huntington Beach,181516,Lubbock,199669,Hialeah,224669
Cedar Rapids,25710,San Diego,39652,Berkeley,56020,Lansing,78483,Austin,87977,Wilmington,110444,Fresno,133904,Jackson,154097,Worcester,161837,Garland,180783,Chesapeake,199237,Garland,226876
Wichita,24737,El Paso,39371,Gary,55484,Manchester,76889,Berkeley,85509,Corpus Christi,108382,South Bend,132419,Lincoln,149550,Kansas City,161196,Glendale,180086,Mobile,198931,Scottsdale,217385
Aurora,24173,Flint,38613,Lincoln,54931,Shreveport,76745,Rockford,84642,Allentown,106860,Chattanooga,130082,Lubbock,149130,Warren,161127,Columbus,179370,Des Moines,198729,Irving,216290
Macon,23320,Montgomery,38131,Portsmouth,54433,Pasadena,76122,Glendale,82652,Phoenix,106857,Albany,129789,Rockford,147419,Arlington,160132,Spokane,177251,Grand Rapids,197851,Chesapeake,222209
Springfield,23375,Tampa,37838,Macon,53024,Lincoln,75919,Lincoln,82080,Montgomery,106581,Lubbock,128763,Paterson,144865,Flint,159684,Tacoma,176750,Richmond,197867,North Las Vegas,216961
Austin,22317,Knoxville,36317,Augusta-Richmond ,52564,Winston-Salem,75378,Pasadena,81973,Pasadena,104640,Lincoln,128580,Greensboro,144191,Little Rock,159218,Little Rock,175871,Yonkers,196171,Fremont,214089
Roanoke,21533,Springfield,35256,Tampa,51666,Springfield,71996,Winston-Salem,79880,Little Rock,102234,Madison,126705,Riverside,140105,Aurora,158694,Bakersfield,174853,Spokane,195659,Baton Rouge,229493
San Jose,21588,Lexington-Fayette,35195,Roanoke,50874,Roanoke,69254,Lansing,78843,Waterbury,99311,Rockford,126720,Youngstown,140149,Tacoma,158592,Fremont,173339,Glendale,195081,Richmond,204214
Colorado Springs,21172,Roanoke,34953,Topeka,50027,Mobile,68293,Mobile,78703,Lincoln,98948,Kansas City,121933,Fort Lauderdale,139656,Providence,156966,Fort Wayne,173155,Tacoma,193685,Boise,205671
Columbia,21128,Joliet,34740,Winston-Salem,48497,Montgomery,66167,Montgomery,78190,Jackson,98313,Greensboro,119615,Evansville,138830,Greensboro,155651,Arlington,170917,Irving,191682,San Bernardino,209924
