city,Pop1840,city,Pop1856,city,Pop1897,city,Pop1926,city,Pop1939,city,Pop1959,city,Pop1970,city,Pop1979,city,Pop1989,city,Pop2002,city,Pop2010
Ekaterinburg,15779,Tomsk,20202,Poltava,53703,Poltava,89391,Krivii Rig,198998,Magnitogorsk,311100,Kramatorsk,432799,Khabarovsk,527800,Vilnius,606831,Yaroslavl,613088,Tula,620830
Voljsk,15531,Kremenchuk,20030,Tver,53544,Simferopol,86145,Nizhni-Tagil,194400,Astrakhan,295800,Maryupol' / Jdanov,425750,Samarkand,521859,Khabarovsk,600600,Mahachkala,584307,Asta0 / tselinograd,613006
Grod0,15526,Kau0s,20003,Berdichiv,53351,Taganrog,85900,Kaliningrad,189129,Maryupol' / Jdanov,291426,Izhevsk,422400,Maryupol' / Jdanov,512612,Kemerovo,590907,Khabarovsk,583072,Shymkent,603499
Poltava,15521,Bilgorod-Dnistrovsk,19807,Tomsk,52210,Perm,84800,Taganrog,188800,Luhansk,285667,Astrakhan,410500,Vilnius,499280,Gorlivka,562443,Cheboksary,566478,0mangan,603126
Kamyanets-Podilsk,15352,Taganrog,18515,Novocherkask,51963,Gorlivka,83758,Krasnoyarsk,186100,Izhevsk,285300,Dushambe,405397,Kramatorsk,494749,Murmansk,560912,Vilnius,565300,Yaroslavl,591486
Rzhev,15197,Kamyanets-Podilsk,18262,Irkutsk,51473,Gomel,82952,Mikolaiv,178484,Tallinn,281714,Luhansk,395405,Ivanovo,489600,Orenburg,546500,Kemerovo,560938,Tyumen,581758
Veliki Novgorod,14936,Liepeja,18062,Taganrog,51437,Ferga0,80567,Izhevsk,175600,Novomoskovsk,280915,Vilnius,385150,Ulianovsk,486213,Penza,542600,Lipetsk,553592,Cheboksary,577758
Okhtirka,14205,Shaki,17945,Tallinn,50488,Andijan,80194,Stakhanov/Brianka,174597,Kirov,278379,Arkhangelsk,376800,Penza,482900,Cheboksary,534400,Orenburg,549361,Khabarovsk,577668
Irkutsk,14175,Novocherkask,17910,Kaluga,49513,Orel,75600,Groznyj,172400,Arkhangelsk,272600,Penza,373700,Luhansk,482558,Ryazan,533300,Ryazan,540710,Vilnius,571706
Tiraspol,13608,Syzranj,17837,Ufa,49275,Armavir,74400,Orenburg,171700,Murmansk,271140,Mikolaiv,372321,Chisi0u,479604,Lipetsk,530442,0mangan,522579,Kemerovo,561526
Serpuhov,13481,Oral,17640,Simferopol,49078,0mangan,74000,Vitebsk,167299,Leninsk-Kuzneckij,270000,Murmansk,370436,Nizhni-Tagil,473600,Maryupol' / Jdanov,529724,Penza,518025,Lipetsk,554922
Torzhok,13373,Ejsk,17539,Tambov,48015,Tambov,73900,Tallinn,160500,Orenburg,267300,Kirov,370073,Ryazan,471100,Mikolaiv,522343,Tyumen,516059,Andijan,554539
Sumi,13223,Jelgava,17403,Andijan,47627,Vladikavkaz,73600,Penza,159800,Tver,261000,Ulianovsk,368462,Astrakhan,461000,Luhansk,521510,Mikolaiv,512827,Orenburg,546987
Tambov,12986,Brest,17376,Ryazan,47622,Bar0ul,73200,Bar0ul,157100,Mikolaiv,260551,Ryazan,367500,Lipetsk,460490,Nizhni-Tagil,515600,0berezhnye Tchelny,509870,Ryazan,543440
Syzranj,12977,Stavropol,17309,Elec,46956,Smolensk,73100,Smolensk,157000,Penza,255500,Magnitogorsk,364200,Orenburg,458700,Kramatorsk,514679,Astrakhan,504501,Tomsk,522940
Tartu,12914,Bolhov,17216,Grod0,46919,Kostroma,72300,Magnitogorsk,145900,Groznyj,251750,Tallinn,362706,Murmansk,455095,Astrakhan,509200,Maryupol' / Jdanov,500766,Astrakhan,520662
Ufa,12872,Babruisk,17103,Smolensk,46699,Kramatorsk,71841,Kirov,145411,Tomsk,248800,Chisi0u,356382,Mikolaiv,451741,Ivanovo,508000,Andijan,488114,Penza,517137
Evpatoria,12841,Ekaterinburg,16939,Brest,46568,Ulianovsk,71731,Tomsk,145000,Vilnius,242853,Lipetsk,349752,Kirov,436972,Tomsk,502000,Tomsk,487838,0berezhnye Tchelny,513242
Kolom0,12830,0rva,16599,Ferga0,45418,Arkhangelsk,71100,Shahty,143998,Torez,242183,Tver,345100,Arkhangelsk,432800,Gomel,500846,Luhansk,484077,Mikolaiv,501183
Bakhtchisarai,12659,Omsk,16416,Perm,45205,Luhansk,71006,Kursk,143700,Bishkek,239428,Orenburg,344300,Tallinn,429727,0berezhnye Tchelny,500300,Gorlivka,482366,Gomel,487200
Taganrog,12565,Nizhin,16342,Vladikavkaz,43740,Erevan,70215,Simferopol,142634,Dushambe,237350,Groznyj,341300,Tomsk,420700,Kirov,499530,Kirov,480411,Maryupol' / Jdanov,480129
Orenburg,12331,Pskov,16329,Ekaterinburg,43239,Sevastopol,69594,Rybinsk,139200,Orsk,230700,Tomsk,338400,Tver,411500,Tallinn,482037,Gomel,478912,Kirov,473668
Kostroma,12160,Tobolsk,16120,Mogilev,43119,Zhitomir,69465,Gomel,139120,Shahty,230681,Bryansk,330600,Bryansk,408200,Tyumen,481914,Nizhni-Tagil,469427,Luhansk,458156
Oral,12126,Perm,15586,Ulianovsk,41684,Krasnoyarsk,69300,Samarkand,137237,Stakhanov/Brianka,226845,Novomoskovsk,321341,Magnitogorsk,406100,Bryansk,467400,Kramatorsk,462494,Pyatigorsk,450491
Vladimir,12035,Kirov,15500,Stavropol,41590,Kokand,69000,Kemerovo,137000,Ryazan,224300,Kau0s,310703,Cheboksary,392900,Arkhangelsk,466100,Ivanovo,460482,Kaliningrad,443924
Tomsk,11728,Serpuhov,15440,Kostroma,41336,Groznyj,68700,Kau0s,134342,Bryansk,218300,Toljatti,309002,Gomel,382785,Tver,450900,Bryansk,447030,Nukus,443835
Brest,11296,Arkhangelsk,15157,Michurinsk,40297,Chelyabinsk,68200,Vladikavkaz,130800,Kau0s,216837,Orsk,308700,Kau0s,379732,Magnitogorsk,440300,Kaliningrad,440916,Ivanovo,438685
Omsk,11116,Grod0,15012,Omsk,37376,Novorosiisk,66200,Poltava,128456,Chisi0u,216005,Pyatigorsk,302811,Kursk,375300,Kau0s,435269,Pyatigorsk,424975,Nizhni-Tagil,433932
Belgorod,11100,Kostroma,14834,Gomel,36775,Kirovograd,64502,Ashgabat,126600,Ulianovsk,213422,Kaliningrad,300600,Groznyj,375300,Kursk,424200,Asta0 / tselinograd,419771,Bryansk,429514
Chernigiv,11100,Chernigiv,14351,Oral,36466,Izhevsk,63100,Leninsk-Kuzneckij,126000,Krasnoturinsk,210000,Kursk,284200,Kaliningrad,360700,Samarkand,416331,Murmansk,418642,Gorlivka,428911
Starokostuantiniv,11081,Vologda,14159,Kamyanets-Podilsk,35934,Orehovozuev,62800,Ulan-Ude,125700,Lipetsk,206987,Samarkand,281140,Tyumen,359000,0mangan,414100,Magnitogorsk,418545,Kramatorsk,428750
Khotin,11068,Evpatoria,14099,Ejsk,35414,Kirov,61200,Tambov,123200,Samarkand,206866,Lisichansk,278724,Pyatigorsk,357065,Ashgabat,410467,Samarkand,416476,Turkme0bat / Tchardjou,427252
Liepeja,10992,Derbent,13870,Jelgava,35131,Novokuznetsk,59805,Kostroma,121300,Kaliningrad,206000,Leninsk-Kuzneckij,277983,Orsk,341300,Kaliningrad,409200,Shymkent,413332,Samarkand,418166
Vilopollya,10910,Kolom0,13830,Kerch,34785,Chita,58000,Murmansk,120972,Kursk,204700,Gomel,272253,Novomoskovsk,333118,Pyatigorsk,401154,Kursk,412442,Kursk,414595
Kuzneck,10626,Orenburg,13662,Babruisk,34336,Stavropol,57400,Pyatigorsk,118300,Taganrog,202100,Kherson,271102,Kherson,330941,Groznyj,399700,Tver,408903,Magnitogorsk,408401
Kirov,10591,Rzhev,13621,Majkop,34327,Kherson,57376,Lisichansk,117170,Simferopol,199037,Tyumen,268500,Shymkent,321535,Andijan,399405,Arkhangelsk,399434,Ferga0,407452
Lebedin,10571,Okhtirka,13583,Erevan,34273,Kremenchuk,57331,Sevastopol,114252,Tambov,197700,Simferopol,264410,Simferopol,320758,Shymkent,392977,Tallinn,398434,Ulan-Ude,404357
Arkhangelsk,10544,Akhaltsikhe,13298,Osh,34157,Blagoveshensk,57200,Chisi0u,112000,Pyatigorsk,192670,Tambov,263100,Ashgabat,317449,Mahachkala,386985,Ferga0,391032,Tver,403726
Morshansk,10525,Erevan,13179,Kamyshin,34064,Vologda,57100,Orel,110600,Lisichansk,183949,Cheboksary,255000,Vinnicya,314446,Orsk,376800,Kau0s,388513,Tallinn,399340
Kremenets,10290,Khotin,13074,Ganca,33625,Semei/semipalatinsk,57000,Semei/semipalatinsk,110000,Syzranj,182200,Taganrog,254200,Mahachkala,312475,Vinnicya,374304,Nukus,375781,Stavropol,398266
Perm,10286,Hvalynsk,12948,Blagoveshensk,32834,Daugavpils,56702,Novomoskovsk,107500,Rybinsk,181700,Ulan-Ude,253600,Orel,312432,Ferga0,373120,Ulan-Ude,375417,Arkhangelsk,389328
Polatsk,10283,Parnu,12898,Kustaisi,32476,Serpuhov,56500,Chernivtsi,106300,Komsomolsk-0-Amure,177300,Stakhanov/Brianka,253314,Saransk,312100,Sevastopol,368565,Simferopol,366449,Murmansk,382344
Saransk,10131,Ufa,12894,Syzranj,32383,Liepeja,56465,Ulianovsk,105942,Ulan-Ude,175200,Ashgabat,253118,Sevastopol,311429,Kherson,368486,Mogilev,361635,Belgorod,373025
Samara,10110,Tver,12867,Nizhin,32113,Novocherkask,56400,Mahachkala,105700,Chita,171800,Shymkent,247064,Lisichansk,309953,Ulan-Ude,367695,Vinnicya,357302,Vinnicya,369214
Pskov,10099,Valga,12858,Maryupol' / Jdanov,31116,Ganca,55510,Andijan,105000,Kostroma,171700,Kurgan,243900,Kurgan,309900,Simferopol,367270,Orsk,357278,Kau0s,361992
Dubno,10098,Belgorod,12796,Uman,31016,Zaporizhzha,55260,Kerch,104443,Ashgabat,169935,Vladikavkaz,243759,Tambov,307900,Vladimir,366343,Stavropol,354867,Simferopol,360337
Tashkent,0,Veliki Novgorod,12758,Gyumri,30616,Rybinsk,53900,Ferga0,104171,Gomel,168270,Chita,241400,Vladimir,304850,Chita,365800,Saransk,354656,Mogilev,359596
Baku,0,Vladimir,12666,Serpuhov,30571,Michurinsk,53300,Chita,102600,Vladikavkaz,164400,Shahty,240678,Ulan-Ude,304290,Saransk,363100,Sevastopol,352466,Sevastopol,351964
Novosibirsk,0,Kerch,12660,Vinnicya,30563,Krasnoturinsk,53214,Ryazan,100496,Zlatoust,161300,Sevastopol,239109,Chita,302600,Mogilev,359188,Belgorod,352362,Vitebsk,351231
Donetsk,0,Balta,12306,Pskov,30478,Tartu,53040,Kirovograd,100054,Smolensk,160023,Vladimir,237937,0berezhnye Tchelny,301400,Kurgan,355500,Kurgan,345515,Aktobe,345687
Almaty,0,Mcensk,12288,Khuchand / leni0bad,30109,Ryazan,52677,Mogilev,99428,Abakan,159275,Torez,236847,Ferga0,300414,Vitebsk,350004,Orel,345409,Vladimir,345598
Volgograd,0,Morshansk,12278,Nizhni-Tagil,30000,Majkop,52500,Zlatoust,99400,Kherson,157995,Semei/semipalatinsk,235735,Smolensk,299247,Orel,349250,Vitebsk,341719,Saransk,344954
Chelyabinsk,0,Bakhtchisarai,12161,Tartu,29974,Vinnicya,52454,Orehovozuev,99000,Semei/semipalatinsk,156110,Orel,234974,Andijan,297989,Lisichansk,343124,Kherson,339956,Sochi,343285
Erevan,0,Sumi,12120,Cherkasi,29600,Ashgabat,51600,Ganca,98949,Ferga0,154675,Mahachkala,234700,Vitebsk,296605,Tambov,343100,Kaluga,334751,Bukhara,340033
Krasnoyarsk,0,Novorosiisk,12044,Tyumen,29544,Berdichiv,51436,Krasnoturinsk,97839,Chernivtsi,154390,Saransk,231700,Mogilev,290361,Smolensk,341500,Vladikavkaz,330182,Orsk,337936
Ashgabat,0,Kremenets,11983,Vladivostok,28933,Tyumen,50300,Kherson,96987,Vladimir,153900,Vitebsk,230804,Vladikavkaz,289087,Sochi,336500,Sochi,328809,Kurgan,333640
Novokuznetsk,0,Polatsk,11967,Batumi,28508,Tiraspol,49466,Kolom0,96480,Shymkent,153241,Smolensk,230620,Sochi,287400,Semei/semipalatinsk,334402,Taraz - Zhambul,328795,Grod0,332870
Bishkek,0,Cherkasi,11945,Vladimir,28479,Kaluga,49400,Vologda,95300,Orel,152962,Oskemen / Ust-kamenogorsk,230340,Leninsk-Kuzneckij,282768,Pavlodar,330748,Tambov,327712,Orel,329849
Dushambe,0,Kuzneck,11774,Pinsk,28368,Syzranj,48800,Novorosiisk,95200,Andijan,151328,Sochi,224000,Semei/semipalatinsk,282574,Novomoskovsk,326161,Vladimir,327572,Vladikavkaz,328410
Krasnodar,0,Zlatoust,11605,Bilgorod-Dnistrovsk,28258,Grod0,48482,Zhitomir,95067,Bijsk,150909,Kostroma,223000,Poltava,278931,Oskemen / Ust-kamenogorsk,324478,Abakan,325748,Smolensk,326863
Zaporizhzha,0,Gyumri,11600,Chernigiv,27716,Zlatoust,47700,Bryansk,93900,Oskemen / Ust-kamenogorsk,150371,Poltava,219873,Taganrog,276400,Abakan,322231,Smolensk,325137,Kaluga,325185
Toljatti,0,Lipetsk,11300,Vologda,27705,Bukhara,47000,Vinnicya,93032,Tyumen,150200,Rybinsk,218300,Oskemen / Ust-kamenogorsk,274287,Leninsk-Kuzneckij,319700,Chita,316643,Chita,323964
Lviv,0,Bryansk,11254,Sumi,27564,Petropavlovsk,47000,Torez,92835,Vitebsk,148300,Komsomolsk-0-Amure,218100,Pavlodar,272895,Stavropol,318300,Poltava,316630,Abakan,323053
Mahachkala,0,Saransk,11222,Azov,27500,Mogilev,46562,Lipetsk,92500,Mahachkala,148265,Ferga0,216554,Abakan,270476,Komsomolsk-0-Amure,315300,Bukhara,314760,Taraz - Zhambul,320634
Vladivostok,0,Skopin,11217,Voljsk,27058,Khabarovsk,46100,Petropavlovsk,92000,Sevastopol,148033,Andijan,216478,Cherepovets,265900,Poltava,314740,Cherepovets,311869,Kherson,317360
Karagandy,0,Tyumen,11215,Krasnoyarsk,26699,Kustaisi,45754,Serpuhov,91000,Kurgan,145700,Vinnicya,211572,Kaluga,265000,Tiraspol,311831,Grod0,309452,Pavlodar,317289
Bar0ul,0,Uman,11175,Belgorod,26564,Bijsk,45500,Kremenchuk,89723,Pervouralsk,145300,Kaluga,210900,Komsomolsk-0-Amure,263900,Vladikavkaz,311460,0lchik,308749,Ganca,315900
Krivii Rig,0,Dubno,11125,Berdyansk,26496,Batumi,45450,Kaluga,89400,Poltava,143097,Angarsk,209006,Taraz - Zhambul,263793,Kaluga,311400,Lisichansk,307666,Brest,312779
Izhevsk,0,Daugavpils,11106,Morshansk,26458,Almaty,45400,Drogobich,89000,Stavropol,141000,Syzranj,207300,Stavropol,258200,Belgorod,311127,Chernigiv,304405,Cherepovets,312311
Asta0 / tselinograd,0,Ganca,10938,Semei/semipalatinsk,26246,Stakhanov/Brianka,43927,Kineshma,87100,Kamenskural,141000,Abakan,204457,0mangan,257046,Cherepovets,310500,Oskemen / Ust-kamenogorsk,300977,Tambov,312308
Shymkent,0,Bar0ul,10922,Veliki Novgorod,25736,Uman,43821,Stavropol,85300,Angarsk,140075,Mogilev,202314,Kostroma,254700,Taraz - Zhambul,306715,Ganca,300891,Surgut,306703
0mangan,0,Murom,10819,Rybinsk,25290,Sumi,43814,Kokand,85000,Kustaisi,139778,Stavropol,198300,Shahty,246684,Chernigiv,296347,Turkme0bat / Tchardjou,298979,Oskemen / Ust-kamenogorsk,303720
Tyumen,0,Vilopollya,10568,Kirov,25008,Brest,42935,Babruisk,84078,Vologda,139100,Krasnoturinsk,197300,Belgorod,245785,Zhitomir,292097,Novomoskovsk,297284,Vologda,301642
Cheboksary,0,Starokostuantiniv,10529,Sergiposad,25000,Elec,42500,Armavir,83700,Petrozavodsk,135300,Bijsk,190487,Angarsk,244079,Taganrog,291600,Cherkasi,294731,Poltava,300501
Khabarovsk,0,Kamyshin,10438,Bryansk,24781,Bila Tserkva,42111,Kustaisi,80924,Kirovograd,134330,Ganca,189512,Bratsk,244048,Sumi,291264,Vologda,293046,Sumqayit,299600
Kemerovo,0,Pinsk,10368,Shaki,24734,Maryupol' / Jdanov,40825,Abakan,80246,Kaluga,134200,Kirovograd,188795,Zhitomir,243764,Cherkasi,290340,Pavlodar,292044,Semei/semipalatinsk,299264
Lipetsk,0,Arzamas,10349,Rivne,24573,Pskov,40400,Bijsk,80200,Krasnij Lutch,132232,Cherepovets,188300,Stakhanov/Brianka,239626,Nukus,287708,Sumi,290984,Chernigiv,297402
Andijan,0,Vjazma,10213,Feodosiya,24096,Babruisk,39280,0mangan,80000,Petropavlovsk,131453,Taraz - Zhambul,187164,Torez,239529,Bratsk,284617,Surgut,285027,Cherkasi,287713
0berezhnye Tchelny,0,Vasil'kiv,10191,Vyborg,23500,Borisoglebsk,39100,Tyumen,79200,Sochi,131016,Pavlodar,187070,Rybinsk,238600,Bukhara,283588,Zhitomir,283277,Lisichansk,287540
Gomel,0,Torzhok,10160,Buturlinvka,23500,Nizhni-Tagil,38800,Nikopol,78410,Altchevsk / kommu0rsk,129946,Chernivtsi,186812,Chernigiv,238141,Vologda,282800,Taganrog,281947,Novomoskovsk,279563
Maryupol' / Jdanov,0,Petrozavodsk,10144,Okhtirka,23399,Cherkasi,38563,Syzranj,77900,Miass,129900,Bratsk,185261,Kirovograd,236652,Petropavlovsk-Kamchatski,280687,Komsomolsk-0-Amure,281035,Dashougouz,275278
Luhansk,0,Gomel,10113,Balta,23363,Gyumri,38433,Bishkek,76703,0mangan,123467,Sterlitamak,184900,Vologda,236500,Kostroma,278400,Kostroma,278750,Sterlitamak,273432
