BAOSHAN,1187709,MUDANJIANG,807194,LIAOYANG,639553,PINGDINGSHAN,475946,Xinxiang,3000,Jiamusi,23200,Hohhot,10400,Taizhou,8100,,,,,,
NEIJIANG,1165820,DOUMEN,795131,ANYANG,616803,GUILIN,470272,Baoji,2750,Qinhuangdao,21000,Qinhuangdao,10000,Yibin,7800,,,,,,
WUHU,1162664,JINZHOU,776628,CHAOZHOU,614532,TONGHUA,458895,Jiamusi,2750,Wenzhou,21000,Foshan,9600,Shangqiu,7300,,,,,,
BAODING,1138521,XINXIANG,775941,XINXIANG,613357,JIAMUSI,452149,Shaoyang,2750,Nanchong,20600,Shaoxing,9200,Luoyang,7300,,,,,,
NANTONG,1135375,YICHUN,774114,BAODING,605087,LIAOYANG,448807,Taizhou,2750,Xinxiang,20300,Ürümqi,8800,Jiamusi,7100,,,,,,
JIEDONG,1121015,NANTONG,771386,JIAOZUO,604504,YUEYANG,446924,Tonghua,2750,Hegang,20000,Baotou,8200,Baotou,7000,,,,,,
BENXI,1084574,GUILIN,764424,YANGQUAN,602958,JIEDONG,439849,Yibin,2750,Yumen,20000,Datong,8000,Datong,7000,,,,,,
YIYANG,1080000,QINHUANGDAO,753180,DOUMEN,602372,JIEYANG,439849,Zunyi,2750,Taizhou,20000,Yibin,8000,Benxi,6600,,,,,,
QUANZHOU,1076988,FUYANG,742862,JIEYANG,596330,SHAOXING,435730,Quanwan,2677,Zunyi,20000,Tonghua,8000,Quanzhou,5700,,,,,,
JINING,1061332,DONGYING,729018,ZHUZHOU,585253,RUIAN,434651,Weifang,2600,Yangquan,20000,Siping,7600,Siping,5600,,,,,,
HUAIBEI,1054993,LIAOYANG,728492,CHANGDE,584044,HUANGSHI,431583,Liaoyang,2500,Yichun,20000,Shangqiu,7000,Nanchong,5500,,,,,,
HUAIBEI,1054529,CHAOZHOU,717125,YINGKOU,571513,HUANGSHI,431583,Liuzhou,2500,Yibin,19000,Changshu,6400,Qinhuangdao,4700,,,,,,
MIANYANG,1053638,WEIYANG,711993,HUAIBEI,568904,XIAMEN,429108,Qinhuangdao,2500,Weifang,19000,Luoyang,6000,Ürümqi,4500,,,,,,
ZHANGJIAKOU,1050005,XIANGTAN,707783,HUAIBEI,568904,JIAXING,421250,Shangqiu,2500,Liuzhou,19000,Haikou,6000,Tonghua,4200,,,,,,
XINXIANG,1047088,YIYANG,707739,GUILIN,561371,YINGKOU,419640,Wenzhou,2500,Zhenjiang,19000,Nanchong,6000,Liaoyuan,3200,,,,,,
SHAOXING,1030847,YICHANG,699493,XIANGFAN,554046,SHANTOU,419503,Xining,2500,Zhuzhou,19000,Chao'an,6000,,,,,,,,
PINGDINGSHAN,1011079,BENGBU,696811,HUANGSHI,546290,PANJIN,415994,Yangquan,2500,Changzhi,18000,Baoji,5600,,,,,,,,
JINGZHOU,995711,NANYANG,696638,HUANGSHI,546290,QINHUANGDAO,403701,Zhenjiang,2500,Baoji,18000,Neijiang,3200,,,,,,,,
YINGKOU,988109,NEIJIANG,696158,YUEYANG,529843,BENGBU,398382,Hengyang,2400,Neijiang,18000,Huangshi,2800,,,,,,,,
FENGHUA,983394,JINGKOU,695663,QINHUANGDAO,521142,CIXI,396606,Neijiang,2400,Gejiu,18000,Zhuzhou,700,,,,,,,,
ZIGONG,982317,YANGQUAN,687819,DONGYING,519210,NANTONG,389988,Guilin,2350,Liaoyuan,17700,,,,,,,,,,
NANYANG,980832,DANDONG,684190,NEIJIANG,508550,WUHU,388889,Zhuzhou,2300,Shaoyang,17000,,,,,,,,,,
