city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Fredericton,6582,Saint-Hyacinthe,9029,Cambridge,13282,New Westminster,17524,Shawinigan,20380,Jacques-Cartier,33091,Cornwall,43603,Sarnia,78424,Moncton,98447,Moncton,119352,Longueuil ,128016,Red Deer,89715
Nanaimo,6508,Nanaimo,8292,Outremont,13271,Brandon,17188,Lachine,20147,Sydney,31798,Lethbridge,41472,Kingston,77009,Richmond,96298,Sydney,116125,Thunder Bay ,126844,Prince George,86846
Yarmouth,6420,Oshawa,8049,Saint Boniface,12955,Saint Boniface,16358,Sarnia,18735,New Westminster,31446,Jacques-Cartier,40821,Verdun,74574,Guelph,91216,Oakville,114732,Saint John ,125856,White Rock,85062
Dartmouth,6330,Brandon,7570,Charlottetown,12362,North Bay,15552,Saint-Hyacinthe,17867,Lethbridge,31194,Timmins,40125,Brampton,73602,Brantford,90939,Guelph,114021,Moncton ,123776,Granby,82445
Chatham,6248,Fredericton,7278,Owen Sound,12253,Saint-Thomas,15471,Brandon,17632,Moose Jaw,29349,Drummondville,39301,Guelph,72973,Sydney,87557,Brantford,113674,Peterborough ,116736,Sault Sainte Marie,82212
Lindsay,6193,Nelson,7068,Belleville,12229,Shawinigan,15355,Chatham,17426,Saint Boniface,28648,Lachine,38625,La Salle,72915,Sault Sainte Marie,87093,Peterborough,111976,Coquitlam ,112890,Saint-Jean-sur-Richelieu,81802
Truro,6054,Saint-Jean-sur-Richelieu,6721,Oshawa,11925,Cambridge,14025,Saint-Thomas,17118,Shawinigan,28543,Barrie,36430,Moncton,71420,Sarnia,84043,Vaughan,111460,Cambridge ,110372,Medicine Hat,76156
Barrie,5681,Yarmouth,6612,Saint-Jean-sur-Richelieu,11396,Chatham,14013,Salaberry-de-Valleyfield,17102,Outremont,28369,Welland,36151,Saint James-Assiniboia,70841,St. Johns,80520,Gloucester,110781,Chatham,107341,Milton,75880
Salaberry-de-Valleyfield,5565,New Glasgow,6460,Lethbridge,11198,Belleville,13853,Stratford,17014,Timmins,27611,Saint-Jean-sur-Richelieu,34640,Sainte-Foy,67813,Saint-Leonard,79441,Nepean,107675,Cape Breton ,105968,North Bay,74078
Yarmouth,5511,Barrie,6420,Saint-Hyacinthe,10982,Saint-Hyacinthe,13416,Lethbridge,16568,Drummondville,26458,New Westminster,33753,Brantford,65081,Saanich,78706,East York,102754,Saanich ,103654,Saint-Jerome,69598
Dawson,5077,Prince Albert,6346,North Bay,10717,Owen Sound,12867,Saguenay,15975,Saint James-Assiniboia,26265,North Bay,33516,Saanich,65044,Cambridge,77296,Sault Sainte Marie,101829,Gatineau ,102898,Charlottetown,68154
Esquimalt,5020,Truro,6159,Shawinigan,10661,Charlottetown,12459,Belleville,15714,Granby,26167,Moose Jaw,33222,Cambridge,64100,Markham,77076,Abbotsford,100045,Lethbridge ,100238,Chateauguay,66445
Collingwood,4982,Portage la Prairie,5904,Levis,10505,Saguenay,11921,North Bay,15603,Richmond,25943,Saint-Hyacinthe,31738,Dartmouth,64002,La Salle,76323,Saanich,95670,,,Fort McMurray,60555
Cobourg,4852,Saguenay,5880,Amherst,10032,Levis,11759,Galt,15358,Montreal-Nord,25406,Granby,31520,Saint-Laurent,63140,Oakville,75897,Cambridge,92845,,,Cornwall,60554
