Code;Name EN;Province;Lat;Long;1982;1990;2000;2010
CNJIA3212A;JIANGYAN;JIANGSU;32.508753;120.127129;;;404306;645740
CNYUN4453A;YUNCHENG;GUANGDONG;22.928222;112.043797;;;;636290
CNLIA4420A;LIANZHOU;GUANGDONG;24.780966;112.377361;;;409982;634965
CNQIN4420A;QINGYUAN;GUANGDONG;36.0033;107.8811;112192;137840;270309;634965
CNCHE1308B;CHENGDE;HEBEI;40.952942;117.96275;316397;369388;437251;634229
CNFEN3203A;FENGCHENG;JIANGSU;34.6916;116.584;;;;633743
CNFUC4601A;FUCHENG;HAINAN;29.77494;102.840757;;;;632952
CNZHU4404A;ZHUHAI;GUANGDONG;22.270715;113.576726;165977;230137;294297;632311
CNLIY3204A;LIYANG;JIANGSU;28.16379;113.64328;99576;120703;366496;625856
CNPAN5104A;PANZHIHUA;SICHUAN;26.582347;101.718637;367969;456561;562270;617982
CNDAF3209A;DAFENG;JIANGSU;33.195112;120.461665;96195;111520;354827;616856
CNYUH3310A;YUHUAN;ZHEJIANG;28.13593;121.231805;334747;368590;460091;616346
CNYAN4103A;YANSHI;HENAN;34.727237;112.789504;140619;172812;258754;614935
CNSIP2203A;SIPING;JILIN;31.9892;111.1286;344388;407186;492841;613625
CNNIN2207A;NINGJIANG;JILIN;45.171757;124.817033;110751;179425;420686;612816
CNXIX5204A;XIXIU;GUIZHOU;26.253072;105.947594;;;555159;610189
CNSHA3306B;SHANGYU;ZHEJIANG;30.033121;120.868122;163998;210342;469031;606619
CNCHA1404B;CHANGZHI;SHANXI;36.195409;113.116404;306413;425255;499095;604328
CNZHA4412A;ZHAOQING;GUANGDONG;23.047191;112.465091;270104;355173;438157;601926
CNJIU3604A;JIUJIANG;JIANGXI;29.705103;116.001951;364687;442015;480465;598302
CNGAI2108A;GAIZHOU;LIAONING;40.40049;122.348784;181841;162857;299097;597240
CNLEL3714A;LELING;SHANDONG;37.729907;117.231934;;;400018;595780
CNBAI2208A;BAICHENG;JILIN;45.621716;122.851029;266420;335043;420686;592018
CNWUX3206A;WUXIAN;JIANGSU;31.3414;116.6261;;128166;284415;589717
CNZHA2113B;ZHAOYANG;LIAONING;27.3975129;103.5598537;336576;368967;420315;579336
CNDON3307A;DONGYANG;ZHEJIANG;29.289634;120.241561;;;560317;578926
CNXIA2301B;XIANGFANG;HEILONGJIANG;45.7239929;126.6786272;;;;578086
CNHAN3210A;HANJIANG;JIANGSU;33.1451165;107.2678588;228530;319256;409982;576909
CNJIA3304A;JIASHAN;ZHEJIANG;29.4978;111.4436;;;488980;574187
CNQIT2309A;QITAIHE;HEILONGJIANG;45.771975;131.004915;259859;445216;436599;572288
CNLAN1310B;LANGFANG ANCI;HEBEI;39.538047;116.683752;156018;208066;375860;571502
CNWEN3710A;WENDENG;SHANDONG;37.193913;122.058128;;;461662;564459
CNPUJ3307A;PUJIANG;ZHEJIANG;30.9981;105.2555;211818;240896;361200;563810
CNYAN2224A;YANJI;JILIN;42.906959;129.513914;175957;219846;432339;562959
CNHAI3706A;HAIYANG;SHANDONG;36.776425;121.158477;;;287024;560085
CNSHE3306A;SHENGZHOU;ZHEJIANG;29.588497;120.821587;;;297118;557544
CNRUI3607A;RUIJIN;JIANGXI;25.885555;116.027135;;;328309;554329
CNPIN3303A;PINGYANG;ZHEJIANG;23.6907;108.8609;217398;230232;277649;553991
CNSHA4305B;SHAOYANG;HUNAN;27.238893;111.467791;133144;245445;497072;552873
CNLES5111B;LESHAN;SICHUAN;29.552115;103.765678;322228;337515;459507;551818
CNEZH4207A;EZHOU;HUBEI;30.39194;114.894843;121371;144391;363062;549975
CNLON3706A;LONGKOU;SHANDONG;37.646064;120.477836;110925;230941;439848;547748
CNDEC3714A;DECHENG;SHANDONG;37.450804;116.29947;;;;546762
CNHAI4505A;HAICHENG;GUANGXI;21.475004;109.117209;209477;207237;208013;541172
CNJIN3212A;JINGJIANG;JIANGSU;31.982751;120.277138;257751;288969;389811;539681
CNBAZ1310A;BAZHOU;HEBEI;39.125898;116.391386;99624;139688;220081;537634
CNCAN1309A;CANGZHOU;HEBEI;38.304477;116.838834;266386;330677;443561;536795
CNKUN3205A;KUNSHAN;JIANGSU;31.384913;120.98115;;;434429;536493
CNPIN3603A;PINGXIANG;JIANGXI;27.622865;113.854676;239170;313668;414879;534560
CNWUH1503A;WUHAI;NEIMENGGU;39.655024;106.794205;249617;314148;427553;532902
CNQIL5303A;QILIN;YUNNAN;23.3775;116.2856;99470;164853;311135;529065
CNSHA4114A;SHANGQIU;HENAN;34.414961;115.656339;88371;164475;457625;526071
CNLIN1407A;LINGSHI;SHANXI;27.121;106.8513;202155;222205;324878;522804
CNDAL5329A;DALI;YUNNAN;25.606486;100.267638;86370;136956;255263;520737
CNWEI3710A;WEIHAI;SHANDONG;37.513068;122.12042;210415;262790;338448;519712
CNHEB4106A;HEBI;HENAN;35.747225;114.297273;315870;377346;450741;518390
CNQIN4507A;QINZHOU;GUANGXI;21.980968;108.654543;;;;518130
CNHUA5116A;HUAYING;SICHUAN;30.390403;106.783197;165968;198566;354628;508006
CNTON2205A;TONGHUA;JILIN;41.728401;125.939697;458895;406172;460148;506702
CNYAN3211A;YANGZHONG;JIANGSU;32.234827;119.797409;229002;274185;339123;505856
CNQIN4418A;QINGCHENG;GUANGDONG;37.3133;113.856;109361;137840;168128;504691
CNRUS3710A;RUSHAN;SHANDONG;36.919816;121.539764;;;323226;503642
CNSHU2305A;SHUANGYASHAN;HEILONGJIANG;46.646923;131.159553;337141;407312;487294;501827
CNYUE3306A;YUECHENG;ZHEJIANG;36.2842;114.2125;;;;497216
CNKAI4407A;KAIPING;GUANGDONG;22.376484;112.698534;88861;107891;340214;497129
CNPUN4452A;PUNING;GUANGDONG;23.297642;116.166004;113925;116791;323163;485684
CNTIA6205A;TIANSHUI;GANSU;34.580862;105.724947;186460;246357;377370;485438
